CALLER, CALLEE, CALLTYPE
TaoCreate_ALMM,PetscMallocA, DIRECT
TaoCreate_ALMM,PetscLogObjectMemory, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectComm, DIRECT
TaoCreate_ALMM,TaoCreate, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,TaoSetType, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,TaoSetTolerances, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,TaoSetMaximumIterations, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,TaoSetMaximumFunctionEvaluations, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,TaoSetFunctionLowerBound, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,TaoSetOptionsPrefix, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectComposeFunction_Private, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectComposeFunction_Private, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectComposeFunction_Private, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectComposeFunction_Private, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectComposeFunction_Private, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectComposeFunction_Private, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectComposeFunction_Private, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,PetscObjectComposeFunction_Private, DIRECT
TaoCreate_ALMM,PetscError, DIRECT
TaoCreate_ALMM,printf, DIRECT
TaoCreate_ALMM,printf, DIRECT
TaoDestroy_ALMM,TaoDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,ISDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,ISDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecScatterDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecScatterDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,ISDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,ISDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecScatterDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecScatterDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,VecDestroy, DIRECT
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoDestroy_ALMM,PetscError, DIRECT
TaoDestroy_ALMM,printf, DIRECT
TaoDestroy_ALMM,printf, DIRECT
TaoSetUp_ALMM,PetscObjectComm, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,PetscObjectComm, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,TaoComputeVariableBounds, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecGetType, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecZeroEntries, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,PetscMallocA, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecConcatenate, DIRECT
TaoSetUp_ALMM,PetscMallocA, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecScatterCreate, DIRECT
TaoSetUp_ALMM,VecScatterCreate, DIRECT
TaoSetUp_ALMM,PetscMallocA, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecConcatenate, DIRECT
TaoSetUp_ALMM,PetscMallocA, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,VecScatterCreate, DIRECT
TaoSetUp_ALMM,VecScatterCreate, DIRECT
TaoSetUp_ALMM,VecDuplicate, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,PetscInfo_Private, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,TaoSetInitialVector, DIRECT
TaoSetUp_ALMM,PetscError, DIRECT
TaoSetUp_ALMM,TaoSetObjectiveAndGradientRoutine, DIRECT
