CALLER, CALLEE, CALLTYPE
TaoCreate_IPM,PetscMallocA, DIRECT
TaoCreate_IPM,PetscLogObjectMemory, DIRECT
TaoCreate_IPM,PetscError, DIRECT
TaoCreate_IPM,KSPCreate, DIRECT
TaoCreate_IPM,PetscError, DIRECT
TaoCreate_IPM,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_IPM,PetscError, DIRECT
TaoCreate_IPM,KSPSetOptionsPrefix, DIRECT
TaoCreate_IPM,PetscError, DIRECT
TaoCreate_IPM,printf, DIRECT
TaoCreate_IPM,printf, DIRECT
TaoSetup_IPM,VecGetSize, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecGetSize, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,VecDuplicate, DIRECT
TaoSetup_IPM,PetscError, DIRECT
TaoSetup_IPM,printf, DIRECT
TaoSetup_IPM,printf, DIRECT
