CALLER, CALLEE, CALLTYPE
TaoDefaultComputeGradient,PetscOptionsGetReal, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecDuplicate, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecCopy, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecGetSize, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecGetOwnershipRange, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecSetOption, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecGetArray, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecSetValues, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecAssemblyBegin, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecAssemblyEnd, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,TaoComputeObjective, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecSetValues, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecAssemblyBegin, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecAssemblyEnd, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,TaoComputeObjective, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecSetValues, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecAssemblyBegin, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecAssemblyEnd, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecRestoreArray, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,VecDestroy, DIRECT
TaoDefaultComputeGradient,PetscError, DIRECT
TaoDefaultComputeGradient,printf, DIRECT
TaoDefaultComputeGradient,printf, DIRECT
TaoDefaultComputeHessian,PetscInfo_Private, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,PetscObjectComm, DIRECT
TaoDefaultComputeHessian,SNESCreate, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,SNESSetFunction, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,SNESGetDM, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,DMShellSetGlobalVector, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,SNESSetUp, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,VecGetSize, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,VecGetLocalSize, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,MatSetSizes, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,MatSetUp, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,VecGetSize, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,VecGetLocalSize, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,MatSetSizes, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,MatSetUp, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,SNESComputeJacobianDefault, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,SNESDestroy, DIRECT
TaoDefaultComputeHessian,PetscError, DIRECT
TaoDefaultComputeHessian,printf, DIRECT
TaoDefaultComputeHessian,printf, DIRECT
Fsnes,PetscError, DIRECT
Fsnes,PetscCheckPointer, DIRECT
Fsnes,PetscError, DIRECT
Fsnes,PetscError, DIRECT
