CALLER, CALLEE, CALLTYPE
taosetobjectiveroutine_,PetscError, DIRECT
taosetobjectiveroutine_,PetscObjectSetFortranCallback, DIRECT
taosetobjectiveroutine_,TaoSetObjectiveRoutine, DIRECT
ourtaoobjectiveroutine,PetscObjectGetFortranCallback, DIRECT
ourtaoobjectiveroutine,PetscError, DIRECT
ourtaoobjectiveroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, double*, i8*, i32*)*, INDIRECT 
ourtaoobjectiveroutine,PetscError, DIRECT
ourtaoobjectiveroutine,printf, DIRECT
ourtaoobjectiveroutine,printf, DIRECT
taosetgradientroutine_,PetscError, DIRECT
taosetgradientroutine_,PetscObjectSetFortranCallback, DIRECT
taosetgradientroutine_,TaoSetGradientRoutine, DIRECT
ourtaogradientroutine,PetscObjectGetFortranCallback, DIRECT
ourtaogradientroutine,PetscError, DIRECT
ourtaogradientroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ourtaogradientroutine,PetscError, DIRECT
ourtaogradientroutine,printf, DIRECT
ourtaogradientroutine,printf, DIRECT
taosetobjectiveandgradientroutine_,PetscError, DIRECT
taosetobjectiveandgradientroutine_,PetscObjectSetFortranCallback, DIRECT
taosetobjectiveandgradientroutine_,TaoSetObjectiveAndGradientRoutine, DIRECT
ourtaoobjectiveandgradientroutine,PetscObjectGetFortranCallback, DIRECT
ourtaoobjectiveandgradientroutine,PetscError, DIRECT
ourtaoobjectiveandgradientroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, double*, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ourtaoobjectiveandgradientroutine,PetscError, DIRECT
ourtaoobjectiveandgradientroutine,printf, DIRECT
ourtaoobjectiveandgradientroutine,printf, DIRECT
taosetresidualroutine_,PetscError, DIRECT
taosetresidualroutine_,PetscObjectSetFortranCallback, DIRECT
taosetresidualroutine_,TaoSetResidualRoutine, DIRECT
ourtaoresidualroutine,PetscObjectGetFortranCallback, DIRECT
ourtaoresidualroutine,PetscError, DIRECT
ourtaoresidualroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ourtaoresidualroutine,PetscError, DIRECT
ourtaoresidualroutine,printf, DIRECT
ourtaoresidualroutine,printf, DIRECT
taosetjacobianresidualroutine_,PetscError, DIRECT
taosetjacobianresidualroutine_,PetscObjectSetFortranCallback, DIRECT
taosetjacobianresidualroutine_,TaoSetJacobianResidualRoutine, DIRECT
ourtaojacobianresidualroutine,PetscObjectGetFortranCallback, DIRECT
ourtaojacobianresidualroutine,PetscError, DIRECT
ourtaojacobianresidualroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Mat**, %struct._p_Mat**, i8*, i32*)*, INDIRECT 
ourtaojacobianresidualroutine,PetscError, DIRECT
ourtaojacobianresidualroutine,printf, DIRECT
ourtaojacobianresidualroutine,printf, DIRECT
taosetjacobianroutine_,PetscError, DIRECT
taosetjacobianroutine_,PetscObjectSetFortranCallback, DIRECT
taosetjacobianroutine_,TaoSetJacobianRoutine, DIRECT
ourtaojacobianroutine,PetscObjectGetFortranCallback, DIRECT
ourtaojacobianroutine,PetscError, DIRECT
ourtaojacobianroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Mat**, %struct._p_Mat**, i8*, i32*)*, INDIRECT 
ourtaojacobianroutine,PetscError, DIRECT
ourtaojacobianroutine,printf, DIRECT
ourtaojacobianroutine,printf, DIRECT
taosetjacobianstateroutine_,PetscError, DIRECT
taosetjacobianstateroutine_,PetscObjectSetFortranCallback, DIRECT
taosetjacobianstateroutine_,TaoSetJacobianStateRoutine, DIRECT
ourtaojacobianstateroutine,PetscObjectGetFortranCallback, DIRECT
ourtaojacobianstateroutine,PetscError, DIRECT
ourtaojacobianstateroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Mat**, %struct._p_Mat**, %struct._p_Mat**, i8*, i32*)*, INDIRECT 
ourtaojacobianstateroutine,PetscError, DIRECT
ourtaojacobianstateroutine,printf, DIRECT
ourtaojacobianstateroutine,printf, DIRECT
taosetjacobiandesignroutine_,PetscError, DIRECT
taosetjacobiandesignroutine_,PetscObjectSetFortranCallback, DIRECT
taosetjacobiandesignroutine_,TaoSetJacobianDesignRoutine, DIRECT
ourtaojacobiandesignroutine,PetscObjectGetFortranCallback, DIRECT
ourtaojacobiandesignroutine,PetscError, DIRECT
ourtaojacobiandesignroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Mat**, i8*, i32*)*, INDIRECT 
ourtaojacobiandesignroutine,PetscError, DIRECT
ourtaojacobiandesignroutine,printf, DIRECT
ourtaojacobiandesignroutine,printf, DIRECT
taosethessianroutine_,PetscError, DIRECT
taosethessianroutine_,PetscObjectSetFortranCallback, DIRECT
taosethessianroutine_,TaoSetHessianRoutine, DIRECT
ourtaohessianroutine,PetscObjectGetFortranCallback, DIRECT
ourtaohessianroutine,PetscError, DIRECT
ourtaohessianroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Mat**, %struct._p_Mat**, i8*, i32*)*, INDIRECT 
ourtaohessianroutine,PetscError, DIRECT
ourtaohessianroutine,printf, DIRECT
ourtaohessianroutine,printf, DIRECT
taosetvariableboundsroutine_,PetscError, DIRECT
taosetvariableboundsroutine_,PetscObjectSetFortranCallback, DIRECT
taosetvariableboundsroutine_,TaoSetVariableBoundsRoutine, DIRECT
ourtaoboundsroutine,PetscObjectGetFortranCallback, DIRECT
ourtaoboundsroutine,PetscError, DIRECT
ourtaoboundsroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ourtaoboundsroutine,PetscError, DIRECT
ourtaoboundsroutine,printf, DIRECT
ourtaoboundsroutine,printf, DIRECT
taosetmonitor_,PetscError, DIRECT
taosetmonitor_,PetscObjectSetFortranCallback, DIRECT
taosetmonitor_,PetscObjectSetFortranCallback, DIRECT
taosetmonitor_,TaoSetMonitor, DIRECT
ourtaomonitor,PetscObjectGetFortranCallback, DIRECT
ourtaomonitor,PetscError, DIRECT
ourtaomonitor,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, i8*, i32*)*, INDIRECT 
ourtaomonitor,PetscError, DIRECT
ourtaomonitor,printf, DIRECT
ourtaomonitor,printf, DIRECT
ourtaomondestroy,PetscObjectGetFortranCallback, DIRECT
ourtaomondestroy,PetscError, DIRECT
ourtaomondestroy,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (i8*, i32*)*, INDIRECT 
ourtaomondestroy,PetscError, DIRECT
ourtaomondestroy,printf, DIRECT
ourtaomondestroy,printf, DIRECT
taosetconvergencetest_,PetscError, DIRECT
taosetconvergencetest_,PetscObjectSetFortranCallback, DIRECT
taosetconvergencetest_,TaoSetConvergenceTest, DIRECT
ourtaoconvergencetest,PetscObjectGetFortranCallback, DIRECT
ourtaoconvergencetest,PetscError, DIRECT
ourtaoconvergencetest,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, i8*, i32*)*, INDIRECT 
ourtaoconvergencetest,PetscError, DIRECT
ourtaoconvergencetest,printf, DIRECT
ourtaoconvergencetest,printf, DIRECT
taosetconstraintsroutine_,PetscError, DIRECT
taosetconstraintsroutine_,PetscObjectSetFortranCallback, DIRECT
taosetconstraintsroutine_,TaoSetConstraintsRoutine, DIRECT
ourtaoconstraintsroutine,PetscObjectGetFortranCallback, DIRECT
ourtaoconstraintsroutine,PetscError, DIRECT
ourtaoconstraintsroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ourtaoconstraintsroutine,PetscError, DIRECT
ourtaoconstraintsroutine,printf, DIRECT
ourtaoconstraintsroutine,printf, DIRECT
taosettype_,PetscMallocA, DIRECT
taosettype_,PetscStrncpy, DIRECT
taosettype_,TaoSetType, DIRECT
taosettype_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
taoview_,PETSC_VIEWER_DRAW_, DIRECT
taoview_,PETSC_VIEWER_DRAW_, DIRECT
taoview_,PETSC_VIEWER_STDOUT_, DIRECT
taoview_,PETSC_VIEWER_STDOUT_, DIRECT
taoview_,PETSC_VIEWER_STDERR_, DIRECT
taoview_,PETSC_VIEWER_STDERR_, DIRECT
taoview_,PETSC_VIEWER_BINARY_, DIRECT
taoview_,PETSC_VIEWER_BINARY_, DIRECT
taoview_,PETSC_VIEWER_BINARY_, DIRECT
taoview_,PETSC_VIEWER_BINARY_, DIRECT
taoview_,PETSC_VIEWER_SOCKET_, DIRECT
taoview_,PETSC_VIEWER_SOCKET_, DIRECT
taoview_,TaoView, DIRECT
taogetconvergencehistory_,TaoGetConvergenceHistory, DIRECT
taogetoptionsprefix_,TaoGetOptionsPrefix, DIRECT
taogetoptionsprefix_,PetscStrncpy, DIRECT
taoappendoptionsprefix_,PetscMallocA, DIRECT
taoappendoptionsprefix_,PetscStrncpy, DIRECT
taoappendoptionsprefix_,TaoAppendOptionsPrefix, DIRECT
taoappendoptionsprefix_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
taosetoptionsprefix_,PetscMallocA, DIRECT
taosetoptionsprefix_,PetscStrncpy, DIRECT
taosetoptionsprefix_,TaoSetOptionsPrefix, DIRECT
taosetoptionsprefix_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
taogettype_,TaoGetType, DIRECT
taogettype_,PetscStrncpy, DIRECT
taosetjacobianinequalityroutine_,PetscError, DIRECT
taosetjacobianinequalityroutine_,PetscObjectSetFortranCallback, DIRECT
taosetjacobianinequalityroutine_,TaoSetJacobianInequalityRoutine, DIRECT
ourtaojacobianinequalityroutine,PetscObjectGetFortranCallback, DIRECT
ourtaojacobianinequalityroutine,PetscError, DIRECT
ourtaojacobianinequalityroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Mat**, %struct._p_Mat**, i8*, i32*)*, INDIRECT 
ourtaojacobianinequalityroutine,PetscError, DIRECT
ourtaojacobianinequalityroutine,printf, DIRECT
ourtaojacobianinequalityroutine,printf, DIRECT
taosetjacobianequalityroutine_,PetscError, DIRECT
taosetjacobianequalityroutine_,PetscObjectSetFortranCallback, DIRECT
taosetjacobianequalityroutine_,TaoSetJacobianEqualityRoutine, DIRECT
ourtaojacobianequalityroutine,PetscObjectGetFortranCallback, DIRECT
ourtaojacobianequalityroutine,PetscError, DIRECT
ourtaojacobianequalityroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Mat**, %struct._p_Mat**, i8*, i32*)*, INDIRECT 
ourtaojacobianequalityroutine,PetscError, DIRECT
ourtaojacobianequalityroutine,printf, DIRECT
ourtaojacobianequalityroutine,printf, DIRECT
taosetinequalityconstraintsroutine_,PetscError, DIRECT
taosetinequalityconstraintsroutine_,PetscObjectSetFortranCallback, DIRECT
taosetinequalityconstraintsroutine_,TaoSetInequalityConstraintsRoutine, DIRECT
ourtaoinequalityconstraintsroutine,PetscObjectGetFortranCallback, DIRECT
ourtaoinequalityconstraintsroutine,PetscError, DIRECT
ourtaoinequalityconstraintsroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ourtaoinequalityconstraintsroutine,PetscError, DIRECT
ourtaoinequalityconstraintsroutine,printf, DIRECT
ourtaoinequalityconstraintsroutine,printf, DIRECT
taosetequalityconstraintsroutine_,PetscError, DIRECT
taosetequalityconstraintsroutine_,PetscObjectSetFortranCallback, DIRECT
taosetequalityconstraintsroutine_,TaoSetEqualityConstraintsRoutine, DIRECT
ourtaoequalityconstraintsroutine,PetscObjectGetFortranCallback, DIRECT
ourtaoequalityconstraintsroutine,PetscError, DIRECT
ourtaoequalityconstraintsroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, %struct._p_Vec**, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ourtaoequalityconstraintsroutine,PetscError, DIRECT
ourtaoequalityconstraintsroutine,printf, DIRECT
ourtaoequalityconstraintsroutine,printf, DIRECT
taosetupdate_,PetscError, DIRECT
taosetupdate_,PetscObjectSetFortranCallback, DIRECT
taosetupdate_,TaoSetUpdate, DIRECT
ourtaoupdateroutine,PetscObjectGetFortranCallback, DIRECT
ourtaoupdateroutine,PetscError, DIRECT
ourtaoupdateroutine,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_Tao**, i32*, i8*)*, INDIRECT 
ourtaoupdateroutine,printf, DIRECT
ourtaoupdateroutine,printf, DIRECT
taoviewfromoptions_,PetscMallocA, DIRECT
taoviewfromoptions_,PetscStrncpy, DIRECT
taoviewfromoptions_,PetscError, DIRECT
taoviewfromoptions_,TaoViewFromOptions, DIRECT
taoviewfromoptions_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
taodestroy_,TaoDestroy, DIRECT
