CALLER, CALLEE, CALLTYPE
TaoLineSearchCreate_Unit,printf, DIRECT
TaoLineSearchCreate_Unit,printf, DIRECT
TaoLineSearchApply_Unit,TaoLineSearchMonitor, DIRECT
TaoLineSearchApply_Unit,PetscError, DIRECT
TaoLineSearchApply_Unit,VecAXPY, DIRECT
TaoLineSearchApply_Unit,PetscError, DIRECT
TaoLineSearchApply_Unit,TaoLineSearchComputeObjectiveAndGradient, DIRECT
TaoLineSearchApply_Unit,PetscError, DIRECT
TaoLineSearchApply_Unit,TaoLineSearchMonitor, DIRECT
TaoLineSearchApply_Unit,PetscError, DIRECT
TaoLineSearchApply_Unit,PetscInfo_Private, DIRECT
TaoLineSearchApply_Unit,PetscError, DIRECT
TaoLineSearchApply_Unit,PetscInfo_Private, DIRECT
TaoLineSearchApply_Unit,PetscError, DIRECT
TaoLineSearchApply_Unit,printf, DIRECT
TaoLineSearchApply_Unit,printf, DIRECT
TaoLineSearchView_Unit,PetscObjectTypeCompare, DIRECT
TaoLineSearchView_Unit,PetscError, DIRECT
TaoLineSearchView_Unit,PetscViewerASCIIPrintf, DIRECT
TaoLineSearchView_Unit,PetscError, DIRECT
TaoLineSearchView_Unit,printf, DIRECT
TaoLineSearchView_Unit,printf, DIRECT
TaoLineSearchDestroy_Unit,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoLineSearchDestroy_Unit,PetscError, DIRECT
TaoLineSearchDestroy_Unit,printf, DIRECT
TaoLineSearchDestroy_Unit,printf, DIRECT
TaoLineSearchSetFromOptions_Unit,PetscOptionsHead, DIRECT
TaoLineSearchSetFromOptions_Unit,PetscError, DIRECT
TaoLineSearchSetFromOptions_Unit,printf, DIRECT
TaoLineSearchSetFromOptions_Unit,printf, DIRECT
TaoLineSearchSetFromOptions_Unit,printf, DIRECT
TaoLineSearchSetFromOptions_Unit,printf, DIRECT
