CALLER, CALLEE, CALLTYPE
MatConvert_ADA,MatShellGetContext, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,PetscObjectComm, DIRECT
MatConvert_ADA,MPI_Comm_size, DIRECT
MatConvert_ADA,MPI_Error_string, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,PetscObjectTypeCompare, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,PetscObjectTypeCompare, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,PetscObjectTypeCompare, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,PetscObjectTypeCompare, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatDuplicate, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,VecDuplicate, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatGetSize, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatGetLocalSize, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,PetscObjectComm, DIRECT
MatConvert_ADA,MatCreateDense, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatGetOwnershipRange, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatGetColumnVector_ADA, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,VecGetArrayRead, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatSetValue, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,VecRestoreArrayRead, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatAssemblyBegin, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatAssemblyEnd, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,VecDestroy, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,VecDuplicate, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatGetSize, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatGetLocalSize, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,PetscObjectComm, DIRECT
MatConvert_ADA,MatCreateSeqDense, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatGetOwnershipRange, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatGetColumnVector_ADA, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,VecGetArrayRead, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatSetValue, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,VecRestoreArrayRead, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatAssemblyBegin, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,MatAssemblyEnd, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,VecDestroy, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,PetscError, DIRECT
MatConvert_ADA,printf, DIRECT
MatConvert_ADA,printf, DIRECT
MatGetColumnVector_ADA,VecSet, DIRECT
MatGetColumnVector_ADA,PetscError, DIRECT
MatGetColumnVector_ADA,VecGetOwnershipRange, DIRECT
MatGetColumnVector_ADA,PetscError, DIRECT
MatGetColumnVector_ADA,VecSetValues, DIRECT
MatGetColumnVector_ADA,PetscError, DIRECT
MatGetColumnVector_ADA,VecAssemblyBegin, DIRECT
MatGetColumnVector_ADA,PetscError, DIRECT
MatGetColumnVector_ADA,VecAssemblyEnd, DIRECT
MatGetColumnVector_ADA,PetscError, DIRECT
MatGetColumnVector_ADA,MatMult_ADA, DIRECT
MatGetColumnVector_ADA,PetscError, DIRECT
MatGetColumnVector_ADA,printf, DIRECT
MatGetColumnVector_ADA,printf, DIRECT
MatSetValue,MatSetValues, DIRECT
MatCreateADA,PetscObjectComm, DIRECT
MatCreateADA,PetscMallocA, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,VecDuplicate, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,PetscObjectReference, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,VecDuplicate, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,VecDuplicate, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,PetscObjectReference, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,PetscObjectReference, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,VecGetLocalSize, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,VecGetSize, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatCreateShell, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetManageScalingShifts, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatShellSetOperation, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,PetscLogObjectParent, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,PetscLogObjectParent, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,MatSetOption, DIRECT
MatCreateADA,PetscError, DIRECT
MatCreateADA,printf, DIRECT
MatCreateADA,printf, DIRECT
MatMult_ADA,MatShellGetContext, DIRECT
MatMult_ADA,PetscError, DIRECT
MatMult_ADA,MatMult, DIRECT
MatMult_ADA,PetscError, DIRECT
MatMult_ADA,VecPointwiseMult, DIRECT
MatMult_ADA,PetscError, DIRECT
MatMult_ADA,MatMultTranspose, DIRECT
MatMult_ADA,PetscError, DIRECT
MatMult_ADA,VecPointwiseMult, DIRECT
MatMult_ADA,PetscError, DIRECT
MatMult_ADA,VecAXPY, DIRECT
MatMult_ADA,PetscError, DIRECT
MatMult_ADA,printf, DIRECT
MatMult_ADA,printf, DIRECT
MatDestroy_ADA,MatShellGetContext, DIRECT
MatDestroy_ADA,PetscError, DIRECT
MatDestroy_ADA,VecDestroy, DIRECT
MatDestroy_ADA,PetscError, DIRECT
MatDestroy_ADA,VecDestroy, DIRECT
MatDestroy_ADA,PetscError, DIRECT
MatDestroy_ADA,VecDestroy, DIRECT
MatDestroy_ADA,PetscError, DIRECT
MatDestroy_ADA,MatDestroy, DIRECT
MatDestroy_ADA,PetscError, DIRECT
MatDestroy_ADA,VecDestroy, DIRECT
MatDestroy_ADA,PetscError, DIRECT
MatDestroy_ADA,VecDestroy, DIRECT
MatDestroy_ADA,PetscError, DIRECT
MatDestroy_ADA,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_ADA,PetscError, DIRECT
MatDestroy_ADA,printf, DIRECT
MatDestroy_ADA,printf, DIRECT
MatView_ADA,printf, DIRECT
MatView_ADA,printf, DIRECT
MatMultTranspose_ADA,MatMult_ADA, DIRECT
MatMultTranspose_ADA,PetscError, DIRECT
MatMultTranspose_ADA,printf, DIRECT
MatMultTranspose_ADA,printf, DIRECT
MatDiagonalSet_ADA,PetscObjectComm, DIRECT
MatDiagonalSet_ADA,PetscError, DIRECT
MatDiagonalSet_ADA,MatShellGetContext, DIRECT
MatDiagonalSet_ADA,PetscError, DIRECT
MatDiagonalSet_ADA,VecDuplicate, DIRECT
MatDiagonalSet_ADA,PetscError, DIRECT
MatDiagonalSet_ADA,VecSet, DIRECT
MatDiagonalSet_ADA,PetscError, DIRECT
MatDiagonalSet_ADA,VecAXPY, DIRECT
MatDiagonalSet_ADA,PetscError, DIRECT
MatDiagonalSet_ADA,printf, DIRECT
MatDiagonalSet_ADA,printf, DIRECT
MatShift_ADA,MatShellGetContext, DIRECT
MatShift_ADA,PetscError, DIRECT
MatShift_ADA,VecShift, DIRECT
MatShift_ADA,PetscError, DIRECT
MatShift_ADA,printf, DIRECT
MatShift_ADA,printf, DIRECT
MatEqual_ADA,MatShellGetContext, DIRECT
MatEqual_ADA,PetscError, DIRECT
MatEqual_ADA,MatShellGetContext, DIRECT
MatEqual_ADA,PetscError, DIRECT
MatEqual_ADA,VecEqual, DIRECT
MatEqual_ADA,PetscError, DIRECT
MatEqual_ADA,VecEqual, DIRECT
MatEqual_ADA,PetscError, DIRECT
MatEqual_ADA,MatEqual, DIRECT
MatEqual_ADA,PetscError, DIRECT
MatEqual_ADA,printf, DIRECT
MatEqual_ADA,printf, DIRECT
MatScale_ADA,MatShellGetContext, DIRECT
MatScale_ADA,PetscError, DIRECT
MatScale_ADA,VecScale, DIRECT
MatScale_ADA,PetscError, DIRECT
