CALLER, CALLEE, CALLTYPE
TaoCreate_LCL,PetscMallocA, DIRECT
TaoCreate_LCL,PetscLogObjectMemory, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,TaoLineSearchCreate, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,TaoLineSearchSetType, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,TaoLineSearchSetOptionsPrefix, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,TaoLineSearchSetObjectiveAndGradientRoutine, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,KSPCreate, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,KSPSetOptionsPrefix, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,KSPSetFromOptions, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,MatCreate, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,MatSetType, DIRECT
TaoCreate_LCL,PetscError, DIRECT
TaoCreate_LCL,printf, DIRECT
TaoCreate_LCL,printf, DIRECT
TaoSetup_LCL,PetscObjectComm, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecDuplicate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecSet, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecGetSize, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecGetSize, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecCreate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecCreate, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,ISGetLocalSize, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,ISGetLocalSize, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecSetSizes, DIRECT
TaoSetup_LCL,PetscError, DIRECT
TaoSetup_LCL,VecSetSizes, DIRECT
TaoSetup_LCL,PetscError, DIRECT
