CALLER, CALLEE, CALLTYPE
TaoShellSetSolve,PetscCheckPointer, DIRECT
TaoShellSetSolve,PetscError, DIRECT
TaoShellSetSolve,PetscError, DIRECT
TaoShellSetSolve,PetscError, DIRECT
TaoShellSetSolve,printf, DIRECT
TaoShellSetSolve,printf, DIRECT
TaoShellGetContext,PetscError, DIRECT
TaoShellGetContext,PetscCheckPointer, DIRECT
TaoShellGetContext,PetscError, DIRECT
TaoShellGetContext,PetscError, DIRECT
TaoShellGetContext,PetscError, DIRECT
TaoShellGetContext,PetscError, DIRECT
TaoShellGetContext,PetscCheckPointer, DIRECT
TaoShellGetContext,PetscError, DIRECT
TaoShellGetContext,PetscObjectTypeCompare, DIRECT
TaoShellGetContext,PetscError, DIRECT
TaoShellGetContext,printf, DIRECT
TaoShellGetContext,printf, DIRECT
TaoShellSetContext,PetscCheckPointer, DIRECT
TaoShellSetContext,PetscError, DIRECT
TaoShellSetContext,PetscError, DIRECT
TaoShellSetContext,PetscError, DIRECT
TaoShellSetContext,PetscObjectTypeCompare, DIRECT
TaoShellSetContext,PetscError, DIRECT
TaoShellSetContext,printf, DIRECT
TaoShellSetContext,printf, DIRECT
TaoDestroy_Shell,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TaoDestroy_Shell,PetscError, DIRECT
TaoDestroy_Shell,printf, DIRECT
TaoDestroy_Shell,printf, DIRECT
TaoSetUp_Shell,printf, DIRECT
TaoSetUp_Shell,printf, DIRECT
TaoSetFromOptions_Shell,printf, DIRECT
TaoSetFromOptions_Shell,printf, DIRECT
TaoView_Shell,printf, DIRECT
TaoView_Shell,printf, DIRECT
TaoCreate_Shell,PetscMallocA, DIRECT
TaoCreate_Shell,PetscLogObjectMemory, DIRECT
TaoCreate_Shell,PetscError, DIRECT
TaoCreate_Shell,printf, DIRECT
TaoCreate_Shell,printf, DIRECT
TaoSolve_Shell,PetscObjectComm, DIRECT
TaoSolve_Shell,PetscError, DIRECT
TaoSolve_Shell,EMPTYNAME = (_n_TaoShell->any pointer@i64 0) :: i32 (%struct._p_Tao*)*, INDIRECT 
TaoSolve_Shell,PetscError, DIRECT
TaoSolve_Shell,printf, DIRECT
TaoSolve_Shell,printf, DIRECT
