CALLER, CALLEE, CALLTYPE
TaoCreate_BMRM,PetscMallocA, DIRECT
TaoCreate_BMRM,PetscLogObjectMemory, DIRECT
TaoCreate_BMRM,PetscError, DIRECT
TaoCreate_BMRM,printf, DIRECT
TaoCreate_BMRM,printf, DIRECT
TaoSetup_BMRM,VecDuplicate, DIRECT
TaoSetup_BMRM,PetscError, DIRECT
TaoSetup_BMRM,printf, DIRECT
TaoSetup_BMRM,printf, DIRECT
TaoSolve_BMRM,PetscObjectGetComm, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,MPI_Comm_rank, DIRECT
TaoSolve_BMRM,MPI_Error_string, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
TaoSolve_BMRM,PetscMallocA, DIRECT
TaoSolve_BMRM,PetscError, DIRECT
