CALLER, CALLEE, CALLTYPE
TaoCreate_NM,PetscMallocA, DIRECT
TaoCreate_NM,PetscLogObjectMemory, DIRECT
TaoCreate_NM,PetscError, DIRECT
TaoCreate_NM,printf, DIRECT
TaoCreate_NM,printf, DIRECT
TaoSetUp_NM,VecGetSize, DIRECT
TaoSetUp_NM,PetscError, DIRECT
TaoSetUp_NM,VecDuplicateVecs, DIRECT
TaoSetUp_NM,PetscError, DIRECT
TaoSetUp_NM,PetscMallocA, DIRECT
TaoSetUp_NM,PetscError, DIRECT
TaoSetUp_NM,PetscMallocA, DIRECT
TaoSetUp_NM,PetscError, DIRECT
TaoSetUp_NM,VecDuplicate, DIRECT
TaoSetUp_NM,PetscError, DIRECT
TaoSetUp_NM,VecDuplicate, DIRECT
TaoSetUp_NM,PetscError, DIRECT
TaoSetUp_NM,VecDuplicate, DIRECT
TaoSetUp_NM,PetscError, DIRECT
TaoSetUp_NM,VecDuplicate, DIRECT
TaoSetUp_NM,PetscError, DIRECT
TaoSetUp_NM,printf, DIRECT
TaoSetUp_NM,printf, DIRECT
TaoSolve_NM,PetscInfo_Private, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecCopy, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,TaoComputeObjective, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecCopy, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecGetOwnershipRange, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecGetArray, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecRestoreArray, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,TaoComputeObjective, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,NelderMeadSort, DIRECT
TaoSolve_NM,VecSet, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecAXPY, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecScale, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,EMPTYNAME = (_TaoOps->any pointer@i64 120) :: i32 (%struct._p_Tao*, i32, i8*)*, INDIRECT 
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecCopy, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,TaoLogConvergenceHistory, DIRECT
TaoSolve_NM,TaoMonitor, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,EMPTYNAME = (_TaoOps->any pointer@i64 128) :: i32 (%struct._p_Tao*, i8*)*, INDIRECT 
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecAXPBYPCZ, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,TaoComputeObjective, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,PetscInfo_Private, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,NelderMeadReplace, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,PetscInfo_Private, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecAXPBYPCZ, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,TaoComputeObjective, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,NelderMeadReplace, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,NelderMeadReplace, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,PetscInfo_Private, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecAXPBYPCZ, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,TaoComputeObjective, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,NelderMeadReplace, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,PetscInfo_Private, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecAXPBYPCZ, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,TaoComputeObjective, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,NelderMeadReplace, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,PetscInfo_Private, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecAXPBY, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,TaoComputeObjective, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecAXPBY, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,VecAXPY, DIRECT
TaoSolve_NM,PetscError, DIRECT
TaoSolve_NM,NelderMeadSort, DIRECT
