CALLER, CALLEE, CALLTYPE
TaoCreate_OWLQN,PetscMallocA, DIRECT
TaoCreate_OWLQN,PetscLogObjectMemory, DIRECT
TaoCreate_OWLQN,PetscError, DIRECT
TaoCreate_OWLQN,TaoLineSearchCreate, DIRECT
TaoCreate_OWLQN,PetscError, DIRECT
TaoCreate_OWLQN,PetscObjectIncrementTabLevel, DIRECT
TaoCreate_OWLQN,PetscError, DIRECT
TaoCreate_OWLQN,TaoLineSearchSetType, DIRECT
TaoCreate_OWLQN,PetscError, DIRECT
TaoCreate_OWLQN,TaoLineSearchUseTaoRoutines, DIRECT
TaoCreate_OWLQN,PetscError, DIRECT
TaoCreate_OWLQN,TaoLineSearchSetOptionsPrefix, DIRECT
TaoCreate_OWLQN,PetscError, DIRECT
TaoCreate_OWLQN,printf, DIRECT
TaoCreate_OWLQN,printf, DIRECT
TaoSetUp_OWLQN,VecDuplicate, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,VecDuplicate, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,VecDuplicate, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,VecDuplicate, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,VecDuplicate, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,VecDuplicate, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,VecGetLocalSize, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,VecGetSize, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,MatCreateLMVMBFGS, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,MatLMVMAllocate, DIRECT
TaoSetUp_OWLQN,PetscError, DIRECT
TaoSetUp_OWLQN,printf, DIRECT
TaoSetUp_OWLQN,printf, DIRECT
TaoSolve_OWLQN,PetscInfo_Private, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,TaoComputeObjectiveAndGradient, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,VecCopy, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,ComputePseudoGrad_OWLQN, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,VecNorm, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,PetscIsInfOrNanReal, DIRECT
TaoSolve_OWLQN,PetscIsInfOrNanReal, DIRECT
TaoSolve_OWLQN,PetscObjectComm, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,TaoLogConvergenceHistory, DIRECT
TaoSolve_OWLQN,TaoMonitor, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,EMPTYNAME = (_TaoOps->any pointer@i64 128) :: i32 (%struct._p_Tao*, i8*)*, INDIRECT 
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,printf, DIRECT
TaoSolve_OWLQN,printf, DIRECT
TaoSolve_OWLQN,MatLMVMSetJ0Scale, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,EMPTYNAME = (_TaoOps->any pointer@i64 120) :: i32 (%struct._p_Tao*, i32, i8*)*, INDIRECT 
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,MatLMVMUpdate, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,MatSolve, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,ProjDirect_OWLQN, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,VecDot, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,PetscIsInfOrNanReal, DIRECT
TaoSolve_OWLQN,MatLMVMSetJ0Scale, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,MatLMVMReset, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,MatLMVMUpdate, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,MatSolve, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,ProjDirect_OWLQN, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,VecScale, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
TaoSolve_OWLQN,VecCopy, DIRECT
TaoSolve_OWLQN,PetscError, DIRECT
