CALLER, CALLEE, CALLTYPE
CharacteristicView_DA,PetscObjectTypeCompare, DIRECT
CharacteristicView_DA,PetscError, DIRECT
CharacteristicView_DA,PetscObjectTypeCompare, DIRECT
CharacteristicView_DA,PetscError, DIRECT
CharacteristicView_DA,PetscViewerASCIIPrintf, DIRECT
CharacteristicView_DA,PetscError, DIRECT
CharacteristicView_DA,PetscViewerStringSPrintf, DIRECT
CharacteristicView_DA,PetscError, DIRECT
CharacteristicView_DA,printf, DIRECT
CharacteristicView_DA,printf, DIRECT
CharacteristicDestroy_DA,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy_DA,PetscError, DIRECT
CharacteristicDestroy_DA,printf, DIRECT
CharacteristicDestroy_DA,printf, DIRECT
CharacteristicSetUp_DA,DMDAGetInfo, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,MPI_Type_create_struct, DIRECT
CharacteristicSetUp_DA,MPI_Error_string, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,MPI_Type_commit, DIRECT
CharacteristicSetUp_DA,MPI_Error_string, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,VecGetLocalSize, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,PetscMallocA, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,PetscMallocA, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,PetscMallocA, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,PetscMallocA, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,PetscMallocA, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,PetscMallocA, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,PetscMallocA, DIRECT
CharacteristicSetUp_DA,PetscError, DIRECT
CharacteristicSetUp_DA,printf, DIRECT
CharacteristicSetUp_DA,printf, DIRECT
CharacteristicCreate_DA,PetscMallocA, DIRECT
CharacteristicCreate_DA,PetscError, DIRECT
CharacteristicCreate_DA,PetscError, DIRECT
CharacteristicCreate_DA,PetscError, DIRECT
CharacteristicCreate_DA,PetscLogObjectMemory, DIRECT
CharacteristicCreate_DA,PetscError, DIRECT
CharacteristicCreate_DA,printf, DIRECT
CharacteristicCreate_DA,printf, DIRECT
DMDAMapCoordsToPeriodicDomain,DMDAGetInfo, DIRECT
DMDAMapCoordsToPeriodicDomain,PetscError, DIRECT
DMDAMapCoordsToPeriodicDomain,printf, DIRECT
DMDAMapCoordsToPeriodicDomain,printf, DIRECT
