CALLER, CALLEE, CALLTYPE
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscCheckPointer, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscObjectComm, DIRECT
CharacteristicView,PetscViewerASCIIGetStdout, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscCheckPointer, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscObjectComm, DIRECT
CharacteristicView,PetscObjectComm, DIRECT
CharacteristicView,MPI_Comm_compare, DIRECT
CharacteristicView,MPI_Error_string, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,PetscObjectTypeCompare, DIRECT
CharacteristicView,PetscError, DIRECT
CharacteristicView,EMPTYNAME = (_CharacteristicOps->any pointer@i64 0) :: i32 (%struct._p_Characteristic*, %struct._p_PetscViewer*)*, INDIRECT 
CharacteristicView,PetscError, DIRECT
CharacteristicView,printf, DIRECT
CharacteristicView,printf, DIRECT
CharacteristicDestroy,printf, DIRECT
CharacteristicDestroy,printf, DIRECT
CharacteristicDestroy,PetscCheckPointer, DIRECT
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,printf, DIRECT
CharacteristicDestroy,printf, DIRECT
CharacteristicDestroy,EMPTYNAME = (_CharacteristicOps->any pointer@i64 8) :: i32 (%struct._p_Characteristic*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,MPI_Type_free, DIRECT
CharacteristicDestroy,MPI_Error_string, DIRECT
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,PetscHeaderDestroy_Private, DIRECT
CharacteristicDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
CharacteristicDestroy,PetscError, DIRECT
CharacteristicDestroy,printf, DIRECT
