CALLER, CALLEE, CALLTYPE
TSEventInitialize,printf, DIRECT
TSEventInitialize,printf, DIRECT
TSEventInitialize,PetscCheckPointer, DIRECT
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,PetscCheckPointer, DIRECT
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,PetscCheckPointer, DIRECT
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,EMPTYNAME = (_n_TSEvent->any pointer@i64 96) :: i32 (%struct._p_TS*, double, %struct._p_Vec*, double*, i8*)*, INDIRECT 
TSEventInitialize,PetscError, DIRECT
TSEventInitialize,printf, DIRECT
TSEventInitialize,printf, DIRECT
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscCheckPointer, DIRECT
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,printf, DIRECT
TSEventDestroy,printf, DIRECT
TSEventDestroy,printf, DIRECT
TSEventDestroy,printf, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscViewerDestroy, DIRECT
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSEventDestroy,PetscError, DIRECT
TSEventDestroy,printf, DIRECT
TSEventDestroy,printf, DIRECT
TSSetPostEventIntervalStep,printf, DIRECT
TSSetPostEventIntervalStep,printf, DIRECT
TSSetEventTolerances,PetscError, DIRECT
TSSetEventTolerances,PetscCheckPointer, DIRECT
TSSetEventTolerances,PetscError, DIRECT
TSSetEventTolerances,PetscError, DIRECT
TSSetEventTolerances,PetscError, DIRECT
TSSetEventTolerances,PetscCheckPointer, DIRECT
TSSetEventTolerances,PetscError, DIRECT
TSSetEventTolerances,PetscObjectComm, DIRECT
TSSetEventTolerances,PetscError, DIRECT
TSSetEventTolerances,printf, DIRECT
TSSetEventTolerances,printf, DIRECT
TSSetEventHandler,PetscError, DIRECT
TSSetEventHandler,PetscCheckPointer, DIRECT
TSSetEventHandler,PetscError, DIRECT
TSSetEventHandler,PetscError, DIRECT
TSSetEventHandler,PetscError, DIRECT
TSSetEventHandler,PetscError, DIRECT
TSSetEventHandler,PetscCheckPointer, DIRECT
TSSetEventHandler,PetscError, DIRECT
TSSetEventHandler,PetscError, DIRECT
TSSetEventHandler,PetscCheckPointer, DIRECT
TSSetEventHandler,PetscError, DIRECT
TSSetEventHandler,PetscMallocA, DIRECT
TSSetEventHandler,PetscLogObjectMemory, DIRECT
TSSetEventHandler,PetscError, DIRECT
TSSetEventHandler,PetscMallocA, DIRECT
TSSetEventHandler,PetscError, DIRECT
