CALLER, CALLEE, CALLTYPE
TSCreate_BDF,PetscMallocA, DIRECT
TSCreate_BDF,PetscLogObjectMemory, DIRECT
TSCreate_BDF,PetscError, DIRECT
TSCreate_BDF,PetscObjectComposeFunction_Private, DIRECT
TSCreate_BDF,PetscError, DIRECT
TSCreate_BDF,PetscObjectComposeFunction_Private, DIRECT
TSCreate_BDF,PetscError, DIRECT
TSCreate_BDF,TSBDFSetOrder, DIRECT
TSCreate_BDF,PetscError, DIRECT
TSCreate_BDF,printf, DIRECT
TSCreate_BDF,printf, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,PetscError, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,PetscError, DIRECT
TSReset_BDF,PetscError, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,PetscError, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,PetscError, DIRECT
TSReset_BDF,DMCoarsenHookRemove, DIRECT
TSReset_BDF,PetscError, DIRECT
TSReset_BDF,printf, DIRECT
TSReset_BDF,printf, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSReset_BDF,VecDestroy, DIRECT
TSDestroy_BDF,TSReset_BDF, DIRECT
TSDestroy_BDF,PetscError, DIRECT
TSDestroy_BDF,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSDestroy_BDF,PetscError, DIRECT
TSDestroy_BDF,PetscObjectComposeFunction_Private, DIRECT
TSDestroy_BDF,PetscError, DIRECT
TSDestroy_BDF,PetscObjectComposeFunction_Private, DIRECT
TSDestroy_BDF,PetscError, DIRECT
TSDestroy_BDF,printf, DIRECT
TSDestroy_BDF,printf, DIRECT
TSView_BDF,PetscObjectTypeCompare, DIRECT
TSView_BDF,PetscError, DIRECT
TSView_BDF,PetscViewerASCIIPrintf, DIRECT
TSView_BDF,PetscError, DIRECT
TSView_BDF,printf, DIRECT
TSView_BDF,printf, DIRECT
TSSetUp_BDF,TSHasTransientVariable, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,TSGetDM, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,DMCoarsenHookAdd, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,TSGetAdapt, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,TSAdaptCandidatesClear, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,TSAdaptGetClip, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,TSAdaptSetClip, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,TSGetSNES, DIRECT
TSSetUp_BDF,PetscError, DIRECT
TSSetUp_BDF,printf, DIRECT
TSSetUp_BDF,printf, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetUp_BDF,VecDuplicate, DIRECT
TSSetFromOptions_BDF,PetscOptionsHead, DIRECT
TSSetFromOptions_BDF,PetscError, DIRECT
TSSetFromOptions_BDF,TSBDFGetOrder, DIRECT
TSSetFromOptions_BDF,PetscError, DIRECT
TSSetFromOptions_BDF,PetscOptionsInt_Private, DIRECT
TSSetFromOptions_BDF,PetscError, DIRECT
TSSetFromOptions_BDF,TSBDFSetOrder, DIRECT
TSSetFromOptions_BDF,PetscError, DIRECT
TSSetFromOptions_BDF,printf, DIRECT
TSSetFromOptions_BDF,printf, DIRECT
TSSetFromOptions_BDF,printf, DIRECT
TSSetFromOptions_BDF,printf, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,PetscStrlen, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,PetscSegBufferGet, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSBDF_Advance, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSBDF_Advance, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,VecCopy, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSPreStage, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSBDF_SNESSolve, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSPostStage, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSAdaptCheckStage, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,VecCopy, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSComputeTransientVariable, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,VecZeroEntries, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,VecMAXPY, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSPreStage, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSBDF_SNESSolve, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSPostStage, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSAdaptCheckStage, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSAdaptCandidatesClear, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSAdaptCandidateAdd, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,TSAdaptChoose, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,VecCopy, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,PetscInfo_Private, DIRECT
TSStep_BDF,PetscError, DIRECT
TSStep_BDF,printf, DIRECT
TSStep_BDF,printf, DIRECT
TSEvaluateWLTE_BDF,VecZeroEntries, DIRECT
TSEvaluateWLTE_BDF,PetscError, DIRECT
TSEvaluateWLTE_BDF,VecMAXPY, DIRECT
TSEvaluateWLTE_BDF,PetscError, DIRECT
TSEvaluateWLTE_BDF,printf, DIRECT
TSEvaluateWLTE_BDF,printf, DIRECT
TSEvaluateWLTE_BDF,PetscError, DIRECT
TSEvaluateWLTE_BDF,VecAXPY, DIRECT
TSEvaluateWLTE_BDF,PetscError, DIRECT
TSEvaluateWLTE_BDF,TSErrorWeightedNorm, DIRECT
TSEvaluateWLTE_BDF,PetscError, DIRECT
TSEvaluateWLTE_BDF,printf, DIRECT
TSEvaluateWLTE_BDF,printf, DIRECT
TSRollBack_BDF,VecCopy, DIRECT
TSRollBack_BDF,PetscError, DIRECT
TSRollBack_BDF,printf, DIRECT
TSRollBack_BDF,printf, DIRECT
TSInterpolate_BDF,VecZeroEntries, DIRECT
TSInterpolate_BDF,PetscError, DIRECT
TSInterpolate_BDF,VecMAXPY, DIRECT
TSInterpolate_BDF,PetscError, DIRECT
TSInterpolate_BDF,printf, DIRECT
TSInterpolate_BDF,printf, DIRECT
TSInterpolate_BDF,PetscError, DIRECT
TSInterpolate_BDF,printf, DIRECT
TSInterpolate_BDF,printf, DIRECT
SNESTSFormFunction_BDF,SNESGetDM, DIRECT
SNESTSFormFunction_BDF,PetscError, DIRECT
SNESTSFormFunction_BDF,TSBDF_GetVecs, DIRECT
SNESTSFormFunction_BDF,PetscError, DIRECT
SNESTSFormFunction_BDF,TSComputeTransientVariable, DIRECT
SNESTSFormFunction_BDF,PetscError, DIRECT
SNESTSFormFunction_BDF,VecAYPX, DIRECT
SNESTSFormFunction_BDF,PetscError, DIRECT
SNESTSFormFunction_BDF,VecWAXPY, DIRECT
SNESTSFormFunction_BDF,PetscError, DIRECT
SNESTSFormFunction_BDF,TSComputeIFunction, DIRECT
SNESTSFormFunction_BDF,PetscError, DIRECT
SNESTSFormFunction_BDF,TSBDF_RestoreVecs, DIRECT
SNESTSFormFunction_BDF,PetscError, DIRECT
SNESTSFormFunction_BDF,printf, DIRECT
SNESTSFormFunction_BDF,printf, DIRECT
SNESTSFormJacobian_BDF,SNESGetDM, DIRECT
SNESTSFormJacobian_BDF,PetscError, DIRECT
SNESTSFormJacobian_BDF,TSBDF_GetVecs, DIRECT
SNESTSFormJacobian_BDF,PetscError, DIRECT
SNESTSFormJacobian_BDF,TSComputeIJacobian, DIRECT
SNESTSFormJacobian_BDF,PetscError, DIRECT
SNESTSFormJacobian_BDF,TSBDF_RestoreVecs, DIRECT
SNESTSFormJacobian_BDF,PetscError, DIRECT
SNESTSFormJacobian_BDF,printf, DIRECT
SNESTSFormJacobian_BDF,printf, DIRECT
TSBDFSetOrder_BDF,printf, DIRECT
TSBDFSetOrder_BDF,printf, DIRECT
TSBDFSetOrder_BDF,PetscObjectComm, DIRECT
TSBDFSetOrder_BDF,PetscError, DIRECT
TSBDFSetOrder_BDF,printf, DIRECT
TSBDFSetOrder_BDF,printf, DIRECT
TSBDFGetOrder_BDF,printf, DIRECT
TSBDFGetOrder_BDF,printf, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscCheckPointer, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscObjectComm, DIRECT
TSBDFSetOrder,MPI_Comm_size, DIRECT
TSBDFSetOrder,PetscObjectComm, DIRECT
TSBDFSetOrder,MPI_Allreduce, DIRECT
TSBDFSetOrder,MPI_Error_string, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscObjectComm, DIRECT
TSBDFSetOrder,MPI_Comm_size, DIRECT
TSBDFSetOrder,PetscObjectComm, DIRECT
TSBDFSetOrder,MPI_Allreduce, DIRECT
TSBDFSetOrder,MPI_Error_string, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscObjectComm, DIRECT
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,PetscObjectQueryFunction_Private, DIRECT
TSBDFSetOrder,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_TS*, i32)*, INDIRECT 
TSBDFSetOrder,PetscError, DIRECT
TSBDFSetOrder,printf, DIRECT
TSBDFSetOrder,printf, DIRECT
TSBDFGetOrder,PetscError, DIRECT
TSBDFGetOrder,PetscCheckPointer, DIRECT
TSBDFGetOrder,PetscError, DIRECT
TSBDFGetOrder,PetscError, DIRECT
TSBDFGetOrder,PetscError, DIRECT
TSBDFGetOrder,PetscError, DIRECT
TSBDFGetOrder,PetscCheckPointer, DIRECT
TSBDFGetOrder,PetscError, DIRECT
TSBDFGetOrder,PetscObjectQueryFunction_Private, DIRECT
TSBDFGetOrder,PetscError, DIRECT
TSBDFGetOrder,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_TS*, i32*)*, INDIRECT 
TSBDFGetOrder,PetscError, DIRECT
TSBDFGetOrder,PetscObjectComm, DIRECT
TSBDFGetOrder,PetscError, DIRECT
TSBDFGetOrder,printf, DIRECT
TSBDFGetOrder,printf, DIRECT
DMCoarsenHook_TSBDF,printf, DIRECT
DMCoarsenHook_TSBDF,printf, DIRECT
DMRestrictHook_TSBDF,TSBDF_GetVecs, DIRECT
DMRestrictHook_TSBDF,PetscError, DIRECT
DMRestrictHook_TSBDF,TSBDF_GetVecs, DIRECT
DMRestrictHook_TSBDF,PetscError, DIRECT
DMRestrictHook_TSBDF,MatRestrict, DIRECT
DMRestrictHook_TSBDF,PetscError, DIRECT
DMRestrictHook_TSBDF,VecPointwiseMult, DIRECT
DMRestrictHook_TSBDF,PetscError, DIRECT
DMRestrictHook_TSBDF,TSBDF_RestoreVecs, DIRECT
DMRestrictHook_TSBDF,PetscError, DIRECT
DMRestrictHook_TSBDF,TSBDF_RestoreVecs, DIRECT
DMRestrictHook_TSBDF,PetscError, DIRECT
DMRestrictHook_TSBDF,printf, DIRECT
DMRestrictHook_TSBDF,printf, DIRECT
TSBDF_GetVecs,DMGetNamedGlobalVector, DIRECT
TSBDF_GetVecs,PetscError, DIRECT
