CALLER, CALLEE, CALLTYPE
TSGLLEAdaptRegister,TSGLLEAdaptInitializePackage, DIRECT
TSGLLEAdaptRegister,PetscError, DIRECT
TSGLLEAdaptRegister,PetscFunctionListAdd_Private, DIRECT
TSGLLEAdaptRegister,PetscError, DIRECT
TSGLLEAdaptRegister,printf, DIRECT
TSGLLEAdaptRegister,printf, DIRECT
TSGLLEAdaptInitializePackage,printf, DIRECT
TSGLLEAdaptInitializePackage,printf, DIRECT
TSGLLEAdaptInitializePackage,PetscClassIdRegister, DIRECT
TSGLLEAdaptInitializePackage,PetscError, DIRECT
TSGLLEAdaptInitializePackage,TSGLLEAdaptRegisterAll, DIRECT
TSGLLEAdaptInitializePackage,PetscError, DIRECT
TSGLLEAdaptInitializePackage,PetscRegisterFinalize, DIRECT
TSGLLEAdaptInitializePackage,PetscError, DIRECT
TSGLLEAdaptInitializePackage,printf, DIRECT
TSGLLEAdaptInitializePackage,printf, DIRECT
TSGLLEAdaptRegisterAll,printf, DIRECT
TSGLLEAdaptRegisterAll,printf, DIRECT
TSGLLEAdaptRegisterAll,TSGLLEAdaptRegister, DIRECT
TSGLLEAdaptRegisterAll,PetscError, DIRECT
TSGLLEAdaptRegisterAll,TSGLLEAdaptRegister, DIRECT
TSGLLEAdaptRegisterAll,PetscError, DIRECT
TSGLLEAdaptRegisterAll,TSGLLEAdaptRegister, DIRECT
TSGLLEAdaptRegisterAll,PetscError, DIRECT
TSGLLEAdaptRegisterAll,printf, DIRECT
TSGLLEAdaptRegisterAll,printf, DIRECT
TSGLLEAdaptCreate_None,PetscMallocA, DIRECT
TSGLLEAdaptCreate_None,PetscLogObjectMemory, DIRECT
TSGLLEAdaptCreate_None,PetscError, DIRECT
TSGLLEAdaptCreate_None,printf, DIRECT
TSGLLEAdaptCreate_None,printf, DIRECT
TSGLLEAdaptCreate_Size,PetscMallocA, DIRECT
TSGLLEAdaptCreate_Size,PetscLogObjectMemory, DIRECT
TSGLLEAdaptCreate_Size,PetscError, DIRECT
TSGLLEAdaptCreate_Size,printf, DIRECT
TSGLLEAdaptCreate_Size,printf, DIRECT
TSGLLEAdaptCreate_Both,PetscMallocA, DIRECT
TSGLLEAdaptCreate_Both,PetscLogObjectMemory, DIRECT
TSGLLEAdaptCreate_Both,PetscError, DIRECT
TSGLLEAdaptCreate_Both,printf, DIRECT
TSGLLEAdaptCreate_Both,printf, DIRECT
TSGLLEAdaptFinalizePackage,PetscFunctionListDestroy, DIRECT
TSGLLEAdaptFinalizePackage,PetscError, DIRECT
TSGLLEAdaptFinalizePackage,printf, DIRECT
TSGLLEAdaptFinalizePackage,printf, DIRECT
TSGLLEAdaptSetType,PetscFunctionListFind_Private, DIRECT
TSGLLEAdaptSetType,PetscError, DIRECT
TSGLLEAdaptSetType,PetscError, DIRECT
TSGLLEAdaptSetType,EMPTYNAME = (_TSGLLEAdaptOps->any pointer@i64 8) :: i32 (%struct._p_TSGLLEAdapt*)*, INDIRECT 
TSGLLEAdaptSetType,PetscError, DIRECT
TSGLLEAdaptSetType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_TSGLLEAdapt*)*, INDIRECT 
TSGLLEAdaptSetType,PetscError, DIRECT
TSGLLEAdaptSetType,PetscObjectChangeTypeName, DIRECT
TSGLLEAdaptSetType,PetscError, DIRECT
TSGLLEAdaptSetType,printf, DIRECT
TSGLLEAdaptSetType,printf, DIRECT
TSGLLEAdaptSetOptionsPrefix,PetscObjectSetOptionsPrefix, DIRECT
TSGLLEAdaptSetOptionsPrefix,PetscError, DIRECT
TSGLLEAdaptSetOptionsPrefix,printf, DIRECT
TSGLLEAdaptSetOptionsPrefix,printf, DIRECT
TSGLLEAdaptView,PetscObjectTypeCompare, DIRECT
TSGLLEAdaptView,PetscError, DIRECT
TSGLLEAdaptView,PetscObjectPrintClassNamePrefixType, DIRECT
TSGLLEAdaptView,PetscError, DIRECT
TSGLLEAdaptView,PetscViewerASCIIPushTab, DIRECT
TSGLLEAdaptView,PetscError, DIRECT
TSGLLEAdaptView,EMPTYNAME = (_TSGLLEAdaptOps->any pointer@i64 16) :: i32 (%struct._p_TSGLLEAdapt*, %struct._p_PetscViewer*)*, INDIRECT 
TSGLLEAdaptView,PetscError, DIRECT
TSGLLEAdaptView,PetscViewerASCIIPopTab, DIRECT
TSGLLEAdaptView,PetscError, DIRECT
TSGLLEAdaptView,printf, DIRECT
TSGLLEAdaptView,printf, DIRECT
TSGLLEAdaptDestroy,printf, DIRECT
TSGLLEAdaptDestroy,printf, DIRECT
TSGLLEAdaptDestroy,PetscCheckPointer, DIRECT
TSGLLEAdaptDestroy,PetscError, DIRECT
TSGLLEAdaptDestroy,PetscError, DIRECT
TSGLLEAdaptDestroy,PetscError, DIRECT
TSGLLEAdaptDestroy,printf, DIRECT
TSGLLEAdaptDestroy,printf, DIRECT
TSGLLEAdaptDestroy,EMPTYNAME = (_TSGLLEAdaptOps->any pointer@i64 8) :: i32 (%struct._p_TSGLLEAdapt*)*, INDIRECT 
TSGLLEAdaptDestroy,PetscError, DIRECT
TSGLLEAdaptDestroy,PetscHeaderDestroy_Private, DIRECT
TSGLLEAdaptDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSGLLEAdaptDestroy,PetscError, DIRECT
TSGLLEAdaptDestroy,printf, DIRECT
TSGLLEAdaptDestroy,printf, DIRECT
TSGLLEAdaptSetFromOptions,PetscOptionsHead, DIRECT
TSGLLEAdaptSetFromOptions,PetscError, DIRECT
TSGLLEAdaptSetFromOptions,PetscOptionsFList_Private, DIRECT
TSGLLEAdaptSetFromOptions,PetscError, DIRECT
TSGLLEAdaptSetFromOptions,TSGLLEAdaptSetType, DIRECT
TSGLLEAdaptSetFromOptions,PetscError, DIRECT
TSGLLEAdaptSetFromOptions,EMPTYNAME = (_TSGLLEAdaptOps->any pointer@i64 24) :: i32 (%struct._p_PetscOptionItems*, %struct._p_TSGLLEAdapt*)*, INDIRECT 
TSGLLEAdaptSetFromOptions,PetscError, DIRECT
TSGLLEAdaptSetFromOptions,printf, DIRECT
TSGLLEAdaptSetFromOptions,printf, DIRECT
TSGLLEAdaptSetFromOptions,printf, DIRECT
TSGLLEAdaptSetFromOptions,printf, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscCheckPointer, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscCheckPointer, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscCheckPointer, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscCheckPointer, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscCheckPointer, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscCheckPointer, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,PetscCheckPointer, DIRECT
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,EMPTYNAME = (_TSGLLEAdaptOps->any pointer@i64 0) :: i32 (%struct._p_TSGLLEAdapt*, i32, i32*, double*, double*, i32, double, double, i32*, double*, i32*)*, INDIRECT 
TSGLLEAdaptChoose,PetscError, DIRECT
TSGLLEAdaptChoose,printf, DIRECT
TSGLLEAdaptChoose,printf, DIRECT
TSGLLEAdaptCreate,PetscMallocA, DIRECT
TSGLLEAdaptCreate,PetscHeaderCreate_Private, DIRECT
TSGLLEAdaptCreate,PetscLogPHC = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscObject*)*, INDIRECT 
TSGLLEAdaptCreate,PetscLogObjectMemory, DIRECT
TSGLLEAdaptCreate,PetscError, DIRECT
TSGLLEAdaptCreate,printf, DIRECT
TSGLLEAdaptCreate,printf, DIRECT
TSGLLEAdaptChoose_None,printf, DIRECT
TSGLLEAdaptChoose_None,printf, DIRECT
TSGLLEAdaptDestroy_JustFree,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSGLLEAdaptDestroy_JustFree,PetscError, DIRECT
TSGLLEAdaptDestroy_JustFree,printf, DIRECT
TSGLLEAdaptDestroy_JustFree,printf, DIRECT
TSGLLEAdaptChoose_Size,pow, DIRECT
TSGLLEAdaptChoose_Size,sqrt, DIRECT
TSGLLEAdaptChoose_Size,printf, DIRECT
TSGLLEAdaptChoose_Size,printf, DIRECT
TSGLLEAdaptChoose_Both,pow, DIRECT
TSGLLEAdaptChoose_Both,PetscMemcpy, DIRECT
TSGLLEAdaptChoose_Both,PetscError, DIRECT
TSGLLEAdaptChoose_Both,PetscMemcpy, DIRECT
TSGLLEAdaptChoose_Both,PetscError, DIRECT
TSGLLEAdaptChoose_Both,sqrt, DIRECT
TSGLLEAdaptChoose_Both,printf, DIRECT
TSGLLEAdaptChoose_Both,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
