CALLER, CALLEE, CALLTYPE
TSCreate_Mimex,PetscMallocA, DIRECT
TSCreate_Mimex,PetscLogObjectMemory, DIRECT
TSCreate_Mimex,PetscError, DIRECT
TSCreate_Mimex,printf, DIRECT
TSCreate_Mimex,printf, DIRECT
TSSetUp_Mimex,VecDuplicate, DIRECT
TSSetUp_Mimex,PetscError, DIRECT
TSSetUp_Mimex,VecDuplicate, DIRECT
TSSetUp_Mimex,PetscError, DIRECT
TSSetUp_Mimex,printf, DIRECT
TSSetUp_Mimex,printf, DIRECT
TSStep_Mimex,TSGetDM, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,DMGetDS, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,DMGetLocalSection, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,PetscDSGetNumFields, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,PetscSectionGetChart, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,TSPreStage, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,VecCopy, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,SNESSolve, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,VecGetArrayRead, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,VecGetArray, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,PetscDSGetImplicit, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,PetscSectionGetFieldDof, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,PetscSectionGetFieldConstraintDof, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,DMPlexPointGlobalFieldRead, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,DMPlexPointGlobalFieldRef, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,VecRestoreArrayRead, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,VecRestoreArray, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,TSComputeRHSFunction, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,VecGetArrayRead, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,VecGetArray, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,PetscDSGetImplicit, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,PetscSectionGetFieldDof, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,PetscSectionGetFieldConstraintDof, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,DMPlexPointGlobalFieldRead, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,DMPlexPointGlobalFieldRef, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,VecRestoreArrayRead, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,VecRestoreArray, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,TSPostStage, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,printf, DIRECT
TSStep_Mimex,printf, DIRECT
TSStep_Mimex,PetscError, DIRECT
TSStep_Mimex,TSPreStage, DIRECT
