CALLER, CALLEE, CALLTYPE
TSPseudoComputeTimeStep,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
TSPseudoComputeTimeStep,PetscError, DIRECT
TSPseudoComputeTimeStep,EMPTYNAME = (->any pointer@i64 24) :: i32 (%struct._p_TS*, double*, i8*)*, INDIRECT 
TSPseudoComputeTimeStep,PetscError, DIRECT
TSPseudoComputeTimeStep,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
TSPseudoComputeTimeStep,PetscError, DIRECT
TSPseudoComputeTimeStep,printf, DIRECT
TSPseudoComputeTimeStep,printf, DIRECT
TSPseudoVerifyTimeStepDefault,printf, DIRECT
TSPseudoVerifyTimeStepDefault,printf, DIRECT
TSPseudoVerifyTimeStep,EMPTYNAME = (->any pointer@i64 40) :: i32 (%struct._p_TS*, %struct._p_Vec*, i8*, double*, i32*)*, INDIRECT 
TSPseudoVerifyTimeStep,PetscError, DIRECT
TSPseudoVerifyTimeStep,printf, DIRECT
TSPseudoVerifyTimeStep,printf, DIRECT
TSPseudoSetVerifyTimeStep,PetscError, DIRECT
TSPseudoSetVerifyTimeStep,PetscCheckPointer, DIRECT
TSPseudoSetVerifyTimeStep,PetscError, DIRECT
TSPseudoSetVerifyTimeStep,PetscError, DIRECT
TSPseudoSetVerifyTimeStep,PetscError, DIRECT
TSPseudoSetVerifyTimeStep,PetscObjectQueryFunction_Private, DIRECT
TSPseudoSetVerifyTimeStep,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_TS*, i32 (%struct._p_TS*, %struct._p_Vec*, i8*, double*, i32*)*, i8*)*, INDIRECT 
TSPseudoSetVerifyTimeStep,PetscError, DIRECT
TSPseudoSetVerifyTimeStep,printf, DIRECT
TSPseudoSetVerifyTimeStep,printf, DIRECT
TSPseudoSetTimeStepIncrement,PetscError, DIRECT
TSPseudoSetTimeStepIncrement,PetscCheckPointer, DIRECT
TSPseudoSetTimeStepIncrement,PetscError, DIRECT
TSPseudoSetTimeStepIncrement,PetscError, DIRECT
TSPseudoSetTimeStepIncrement,PetscError, DIRECT
TSPseudoSetTimeStepIncrement,PetscIsNanReal, DIRECT
