CALLER, CALLEE, CALLTYPE
TSBasicSymplecticRegisterAll,printf, DIRECT
TSBasicSymplecticRegisterAll,printf, DIRECT
TSBasicSymplecticRegisterAll,TSBasicSymplecticRegister, DIRECT
TSBasicSymplecticRegisterAll,PetscError, DIRECT
TSBasicSymplecticRegisterAll,TSBasicSymplecticRegister, DIRECT
TSBasicSymplecticRegisterAll,PetscError, DIRECT
TSBasicSymplecticRegisterAll,TSBasicSymplecticRegister, DIRECT
TSBasicSymplecticRegisterAll,PetscError, DIRECT
TSBasicSymplecticRegisterAll,TSBasicSymplecticRegister, DIRECT
TSBasicSymplecticRegisterAll,PetscError, DIRECT
TSBasicSymplecticRegisterAll,printf, DIRECT
TSBasicSymplecticRegisterAll,printf, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscCheckPointer, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscCheckPointer, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscCheckPointer, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,TSBasicSymplecticInitializePackage, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscMallocA, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscStrallocpy, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscMallocA, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscMemcpy, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,PetscMemcpy, DIRECT
TSBasicSymplecticRegister,PetscError, DIRECT
TSBasicSymplecticRegister,printf, DIRECT
TSBasicSymplecticRegister,printf, DIRECT
TSBasicSymplecticRegisterDestroy,PetscFreeA, DIRECT
TSBasicSymplecticRegisterDestroy,PetscError, DIRECT
TSBasicSymplecticRegisterDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSBasicSymplecticRegisterDestroy,PetscError, DIRECT
TSBasicSymplecticRegisterDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSBasicSymplecticRegisterDestroy,PetscError, DIRECT
TSBasicSymplecticRegisterDestroy,printf, DIRECT
TSBasicSymplecticRegisterDestroy,printf, DIRECT
TSBasicSymplecticInitializePackage,printf, DIRECT
TSBasicSymplecticInitializePackage,printf, DIRECT
TSBasicSymplecticInitializePackage,TSBasicSymplecticRegisterAll, DIRECT
TSBasicSymplecticInitializePackage,PetscError, DIRECT
TSBasicSymplecticInitializePackage,PetscRegisterFinalize, DIRECT
TSBasicSymplecticInitializePackage,PetscError, DIRECT
TSBasicSymplecticInitializePackage,printf, DIRECT
TSBasicSymplecticInitializePackage,printf, DIRECT
TSBasicSymplecticFinalizePackage,TSBasicSymplecticRegisterDestroy, DIRECT
TSBasicSymplecticFinalizePackage,PetscError, DIRECT
TSBasicSymplecticFinalizePackage,printf, DIRECT
TSBasicSymplecticFinalizePackage,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
TSBasicSymplecticSetType,PetscError, DIRECT
TSBasicSymplecticSetType,PetscCheckPointer, DIRECT
TSBasicSymplecticSetType,PetscError, DIRECT
TSBasicSymplecticSetType,PetscError, DIRECT
TSBasicSymplecticSetType,PetscError, DIRECT
TSBasicSymplecticSetType,PetscObjectQueryFunction_Private, DIRECT
TSBasicSymplecticSetType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_TS*, i8*)*, INDIRECT 
TSBasicSymplecticSetType,PetscError, DIRECT
TSBasicSymplecticSetType,printf, DIRECT
TSBasicSymplecticSetType,printf, DIRECT
TSBasicSymplecticGetType,PetscError, DIRECT
TSBasicSymplecticGetType,PetscCheckPointer, DIRECT
TSBasicSymplecticGetType,PetscError, DIRECT
TSBasicSymplecticGetType,PetscError, DIRECT
TSBasicSymplecticGetType,PetscError, DIRECT
TSBasicSymplecticGetType,PetscObjectQueryFunction_Private, DIRECT
TSBasicSymplecticGetType,PetscError, DIRECT
TSBasicSymplecticGetType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_TS*, i8**)*, INDIRECT 
TSBasicSymplecticGetType,PetscError, DIRECT
TSBasicSymplecticGetType,PetscObjectComm, DIRECT
TSBasicSymplecticGetType,PetscError, DIRECT
TSBasicSymplecticGetType,printf, DIRECT
TSBasicSymplecticGetType,printf, DIRECT
TSCreate_BasicSymplectic,TSBasicSymplecticInitializePackage, DIRECT
TSCreate_BasicSymplectic,PetscError, DIRECT
TSCreate_BasicSymplectic,PetscMallocA, DIRECT
TSCreate_BasicSymplectic,PetscLogObjectMemory, DIRECT
TSCreate_BasicSymplectic,PetscError, DIRECT
TSCreate_BasicSymplectic,PetscObjectComposeFunction_Private, DIRECT
TSCreate_BasicSymplectic,PetscError, DIRECT
TSCreate_BasicSymplectic,PetscObjectComposeFunction_Private, DIRECT
TSCreate_BasicSymplectic,PetscError, DIRECT
TSCreate_BasicSymplectic,TSBasicSymplecticSetType, DIRECT
TSCreate_BasicSymplectic,PetscError, DIRECT
TSCreate_BasicSymplectic,printf, DIRECT
TSCreate_BasicSymplectic,printf, DIRECT
TSSetUp_BasicSymplectic,TSRHSSplitGetIS, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,TSRHSSplitGetIS, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,PetscObjectComm, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,TSRHSSplitGetSubTS, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,TSRHSSplitGetSubTS, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,PetscObjectComm, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,VecDuplicate, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,TSGetAdapt, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,TSAdaptCandidatesClear, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,TSGetDM, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,DMCoarsenHookAdd, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,DMSubDomainHookAdd, DIRECT
TSSetUp_BasicSymplectic,PetscError, DIRECT
TSSetUp_BasicSymplectic,printf, DIRECT
TSSetUp_BasicSymplectic,printf, DIRECT
TSStep_BasicSymplectic,VecGetSubVector, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,VecGetSubVector, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,VecGetSubVector, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,VecGetSubVector, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,TSPreStage, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,TSComputeRHSFunction, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,VecAXPY, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,TSComputeRHSFunction, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,VecAXPY, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,TSPostStage, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,TSAdaptCheckStage, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,printf, DIRECT
TSStep_BasicSymplectic,printf, DIRECT
TSStep_BasicSymplectic,TSFunctionDomainError, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,printf, DIRECT
TSStep_BasicSymplectic,printf, DIRECT
TSStep_BasicSymplectic,VecRestoreSubVector, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,VecRestoreSubVector, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,VecRestoreSubVector, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,VecRestoreSubVector, DIRECT
TSStep_BasicSymplectic,PetscError, DIRECT
TSStep_BasicSymplectic,printf, DIRECT
TSStep_BasicSymplectic,printf, DIRECT
TSReset_BasicSymplectic,VecDestroy, DIRECT
TSReset_BasicSymplectic,PetscError, DIRECT
TSReset_BasicSymplectic,printf, DIRECT
TSReset_BasicSymplectic,printf, DIRECT
TSDestroy_BasicSymplectic,TSReset_BasicSymplectic, DIRECT
TSDestroy_BasicSymplectic,PetscError, DIRECT
TSDestroy_BasicSymplectic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
TSDestroy_BasicSymplectic,PetscError, DIRECT
TSDestroy_BasicSymplectic,printf, DIRECT
TSDestroy_BasicSymplectic,printf, DIRECT
TSSetFromOptions_BasicSymplectic,PetscOptionsHead, DIRECT
TSSetFromOptions_BasicSymplectic,PetscError, DIRECT
TSSetFromOptions_BasicSymplectic,PetscMallocA, DIRECT
