CALLER, CALLEE, CALLTYPE
tssetcostgradients_,TSSetCostGradients, DIRECT
tsgetcostgradients_,TSGetCostGradients, DIRECT
tssetcosthessianproducts_,TSSetCostHessianProducts, DIRECT
tsgetcosthessianproducts_,TSGetCostHessianProducts, DIRECT
tsadjointsetforward_,TSAdjointSetForward, DIRECT
tsadjointresetforward_,TSAdjointResetForward, DIRECT
tsadjointsetup_,TSAdjointSetUp, DIRECT
tsadjointreset_,TSAdjointReset, DIRECT
tsadjointsetsteps_,TSAdjointSetSteps, DIRECT
tsadjointcomputedrdyfunction_,TSAdjointComputeDRDYFunction, DIRECT
tsadjointcomputedrdpfunction_,TSAdjointComputeDRDPFunction, DIRECT
tsadjointstep_,TSAdjointStep, DIRECT
tsadjointsolve_,TSAdjointSolve, DIRECT
tsadjointcostintegral_,TSAdjointCostIntegral, DIRECT
tsforwardsetup_,TSForwardSetUp, DIRECT
tsforwardreset_,TSForwardReset, DIRECT
tsforwardsetintegralgradients_,TSForwardSetIntegralGradients, DIRECT
tsforwardgetintegralgradients_,TSForwardGetIntegralGradients, DIRECT
tsforwardstep_,TSForwardStep, DIRECT
tsforwardsetsensitivities_,TSForwardSetSensitivities, DIRECT
tsforwardgetsensitivities_,TSForwardGetSensitivities, DIRECT
tsforwardcostintegral_,TSForwardCostIntegral, DIRECT
tsforwardsetinitialsensitivities_,TSForwardSetInitialSensitivities, DIRECT
tsforwardgetstages_,TSForwardGetStages, DIRECT
tscreatequadraturets_,TSCreateQuadratureTS, DIRECT
tsgetquadraturets_,TSGetQuadratureTS, DIRECT
tscomputesnesjacobian_,TSComputeSNESJacobian, DIRECT
