CALLER, CALLEE, CALLTYPE
TSTrajectorySetUp_Basic,PetscObjectGetComm, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,MPI_Comm_rank, DIRECT
TSTrajectorySetUp_Basic,MPI_Error_string, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,PetscMkdtemp, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,PetscStrallocpy, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,PetscTestDirectory, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,PetscTestFile, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,PetscMkdir, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,PetscBarrier, DIRECT
TSTrajectorySetUp_Basic,PetscError, DIRECT
TSTrajectorySetUp_Basic,printf, DIRECT
TSTrajectorySetUp_Basic,printf, DIRECT
TSTrajectoryCreate_Basic,PetscMallocA, DIRECT
TSTrajectoryCreate_Basic,PetscError, DIRECT
TSTrajectoryCreate_Basic,PetscObjectComm, DIRECT
TSTrajectoryCreate_Basic,PetscViewerCreate, DIRECT
TSTrajectoryCreate_Basic,PetscError, DIRECT
TSTrajectoryCreate_Basic,PetscViewerSetType, DIRECT
TSTrajectoryCreate_Basic,PetscError, DIRECT
TSTrajectoryCreate_Basic,PetscViewerPushFormat, DIRECT
TSTrajectoryCreate_Basic,PetscError, DIRECT
TSTrajectoryCreate_Basic,PetscViewerFileSetMode, DIRECT
TSTrajectoryCreate_Basic,PetscError, DIRECT
TSTrajectoryCreate_Basic,printf, DIRECT
TSTrajectoryCreate_Basic,printf, DIRECT
TSTrajectorySet_Basic,PetscSNPrintf, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,PetscViewerFileSetName, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,PetscViewerSetUp, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,VecView, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,PetscViewerBinaryWrite, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,TSGetStages, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,VecView, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,TSGetPrevTime, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,PetscViewerBinaryWrite, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,TSForwardGetSensitivities, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,MatView, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,TSForwardGetStages, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,MatView, DIRECT
TSTrajectorySet_Basic,PetscError, DIRECT
TSTrajectorySet_Basic,printf, DIRECT
TSTrajectorySet_Basic,printf, DIRECT
TSTrajectoryGet_Basic,PetscSNPrintf, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,PetscObjectComm, DIRECT
TSTrajectoryGet_Basic,PetscViewerBinaryOpen, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,TSGetSolution, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,PetscViewerPushFormat, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,VecLoad, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,PetscViewerBinaryRead, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,TSGetStages, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,VecLoad, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,PetscViewerBinaryRead, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,TSSetTimeStep, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,TSForwardGetSensitivities, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,MatLoad, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,TSForwardGetStages, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,MatLoad, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,PetscViewerDestroy, DIRECT
TSTrajectoryGet_Basic,PetscError, DIRECT
TSTrajectoryGet_Basic,printf, DIRECT
TSTrajectoryGet_Basic,printf, DIRECT
TSTrajectoryDestroy_Basic,PetscViewerDestroy, DIRECT
TSTrajectoryDestroy_Basic,PetscError, DIRECT
TSTrajectoryDestroy_Basic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
