CALLER, CALLEE, CALLTYPE
PetscConvEstUseTS,PetscError, DIRECT
PetscConvEstUseTS,PetscCheckPointer, DIRECT
PetscConvEstUseTS,PetscError, DIRECT
PetscConvEstUseTS,PetscError, DIRECT
PetscConvEstUseTS,PetscError, DIRECT
PetscConvEstUseTS,printf, DIRECT
PetscConvEstUseTS,printf, DIRECT
PetscConvEstSetTS_Private,PetscObjectGetClassId, DIRECT
PetscConvEstSetTS_Private,PetscError, DIRECT
PetscConvEstSetTS_Private,PetscObjectComm, DIRECT
PetscConvEstSetTS_Private,PetscError, DIRECT
PetscConvEstSetTS_Private,TSGetDM, DIRECT
PetscConvEstSetTS_Private,PetscError, DIRECT
PetscConvEstSetTS_Private,printf, DIRECT
PetscConvEstSetTS_Private,printf, DIRECT
PetscConvEstInitGuessTS_Private,TSComputeInitialCondition, DIRECT
PetscConvEstInitGuessTS_Private,PetscError, DIRECT
PetscConvEstInitGuessTS_Private,printf, DIRECT
PetscConvEstInitGuessTS_Private,printf, DIRECT
PetscConvEstComputeErrorTS_Private,TSGetComputeExactError, DIRECT
PetscConvEstComputeErrorTS_Private,PetscError, DIRECT
PetscConvEstComputeErrorTS_Private,VecDuplicate, DIRECT
PetscConvEstComputeErrorTS_Private,PetscError, DIRECT
PetscConvEstComputeErrorTS_Private,TSComputeExactError, DIRECT
PetscConvEstComputeErrorTS_Private,PetscError, DIRECT
PetscConvEstComputeErrorTS_Private,VecNorm, DIRECT
PetscConvEstComputeErrorTS_Private,PetscError, DIRECT
PetscConvEstComputeErrorTS_Private,VecDestroy, DIRECT
PetscConvEstComputeErrorTS_Private,PetscError, DIRECT
PetscConvEstComputeErrorTS_Private,TSGetSolveTime, DIRECT
PetscConvEstComputeErrorTS_Private,PetscError, DIRECT
PetscConvEstComputeErrorTS_Private,DMComputeL2FieldDiff, DIRECT
PetscConvEstComputeErrorTS_Private,PetscError, DIRECT
PetscConvEstComputeErrorTS_Private,printf, DIRECT
PetscConvEstComputeErrorTS_Private,printf, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSGetSolution, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscMallocA, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSGetTimeStep, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSGetMaxSteps, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSetTime, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSetStepNumber, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSetTimeStep, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSetMaxSteps, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscConvEstComputeInitialGuess, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSolve, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscConvEstComputeError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscLogEventSetDof, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscLogEventSetError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscConvEstMonitorDefault, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscMallocA, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscLinearRegression, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,log10, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,log10, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscLinearRegression, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscFreeA, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSetConvergedReason, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSetTime, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSetStepNumber, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSetTimeStep, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,TSSetMaxSteps, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscConvEstComputeInitialGuess, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscConvEstGetConvRateTS_Temporal_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,printf, DIRECT
PetscConvEstGetConvRateTS_Temporal_Private,printf, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscObjectComm, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,DMGetDimension, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,DMGetApplicationContext, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,DMPlexSetRefinementUniform, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,DMGetRefineLevel, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscMallocA, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,TSGetSolution, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscSNPrintf, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscError, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscLogStageRegister, DIRECT
PetscConvEstGetConvRateTS_Spatial_Private,PetscError, DIRECT
