CALLER, CALLEE, CALLTYPE
AOView_Basic,PetscObjectComm, DIRECT
AOView_Basic,MPI_Comm_rank, DIRECT
AOView_Basic,MPI_Error_string, DIRECT
AOView_Basic,PetscError, DIRECT
AOView_Basic,PetscObjectTypeCompare, DIRECT
AOView_Basic,PetscError, DIRECT
AOView_Basic,PetscViewerASCIIPrintf, DIRECT
AOView_Basic,PetscError, DIRECT
AOView_Basic,PetscViewerASCIIPrintf, DIRECT
AOView_Basic,PetscError, DIRECT
AOView_Basic,PetscViewerASCIIPrintf, DIRECT
AOView_Basic,PetscError, DIRECT
AOView_Basic,PetscViewerFlush, DIRECT
AOView_Basic,PetscError, DIRECT
AOView_Basic,printf, DIRECT
AOView_Basic,printf, DIRECT
AODestroy_Basic,PetscFreeA, DIRECT
AODestroy_Basic,PetscError, DIRECT
AODestroy_Basic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
AODestroy_Basic,PetscError, DIRECT
AODestroy_Basic,printf, DIRECT
AODestroy_Basic,printf, DIRECT
AOBasicGetIndices_Private,printf, DIRECT
AOBasicGetIndices_Private,printf, DIRECT
AOPetscToApplication_Basic,printf, DIRECT
AOPetscToApplication_Basic,printf, DIRECT
AOApplicationToPetsc_Basic,printf, DIRECT
AOApplicationToPetsc_Basic,printf, DIRECT
AOPetscToApplicationPermuteInt_Basic,PetscMallocA, DIRECT
AOPetscToApplicationPermuteInt_Basic,PetscError, DIRECT
AOPetscToApplicationPermuteInt_Basic,PetscMemcpy, DIRECT
AOPetscToApplicationPermuteInt_Basic,PetscError, DIRECT
AOPetscToApplicationPermuteInt_Basic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
AOPetscToApplicationPermuteInt_Basic,PetscError, DIRECT
AOPetscToApplicationPermuteInt_Basic,printf, DIRECT
AOPetscToApplicationPermuteInt_Basic,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
AOApplicationToPetscPermuteInt_Basic,PetscMallocA, DIRECT
AOApplicationToPetscPermuteInt_Basic,PetscError, DIRECT
AOApplicationToPetscPermuteInt_Basic,PetscMemcpy, DIRECT
AOApplicationToPetscPermuteInt_Basic,PetscError, DIRECT
AOApplicationToPetscPermuteInt_Basic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
AOApplicationToPetscPermuteInt_Basic,PetscError, DIRECT
AOApplicationToPetscPermuteInt_Basic,printf, DIRECT
AOApplicationToPetscPermuteInt_Basic,printf, DIRECT
AOPetscToApplicationPermuteReal_Basic,PetscMallocA, DIRECT
AOPetscToApplicationPermuteReal_Basic,PetscError, DIRECT
AOPetscToApplicationPermuteReal_Basic,PetscMemcpy, DIRECT
AOPetscToApplicationPermuteReal_Basic,PetscError, DIRECT
AOPetscToApplicationPermuteReal_Basic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
AOPetscToApplicationPermuteReal_Basic,PetscError, DIRECT
AOPetscToApplicationPermuteReal_Basic,printf, DIRECT
AOPetscToApplicationPermuteReal_Basic,printf, DIRECT
AOApplicationToPetscPermuteReal_Basic,PetscMallocA, DIRECT
AOApplicationToPetscPermuteReal_Basic,PetscError, DIRECT
AOApplicationToPetscPermuteReal_Basic,PetscMemcpy, DIRECT
AOApplicationToPetscPermuteReal_Basic,PetscError, DIRECT
AOApplicationToPetscPermuteReal_Basic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
AOApplicationToPetscPermuteReal_Basic,PetscError, DIRECT
AOApplicationToPetscPermuteReal_Basic,printf, DIRECT
AOApplicationToPetscPermuteReal_Basic,printf, DIRECT
AOCreate_Basic,PetscMallocA, DIRECT
AOCreate_Basic,PetscLogObjectMemory, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscMemcpy, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscObjectChangeTypeName, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,ISGetLocalSize, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,ISGetIndices, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscMPIIntCast, DIRECT
AOCreate_Basic,PetscObjectGetComm, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,MPI_Comm_size, DIRECT
AOCreate_Basic,MPI_Error_string, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,MPI_Comm_rank, DIRECT
AOCreate_Basic,MPI_Error_string, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscMallocA, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,MPI_Comm_size, DIRECT
AOCreate_Basic,MPI_Allgather, DIRECT
AOCreate_Basic,MPI_Error_string, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscMPIIntCast, DIRECT
AOCreate_Basic,PetscMallocA, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,ISGetIndices, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscMallocA, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,MPI_Comm_size, DIRECT
AOCreate_Basic,MPI_Allgatherv, DIRECT
AOCreate_Basic,MPI_Error_string, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,MPI_Comm_size, DIRECT
AOCreate_Basic,MPI_Allgatherv, DIRECT
AOCreate_Basic,MPI_Error_string, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscFreeA, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscMallocA, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscMemcpy, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscSortInt, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscMemcpy, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscSortInt, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscMallocA, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscLogObjectMemory, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscFreeA, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,ISRestoreIndices, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,ISRestoreIndices, DIRECT
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
AOCreate_Basic,PetscError, DIRECT
AOCreate_Basic,printf, DIRECT
AOCreate_Basic,printf, DIRECT
PetscMPIIntCast,printf, DIRECT
PetscMPIIntCast,printf, DIRECT
AOCreateBasic,ISCreateGeneral, DIRECT
AOCreateBasic,PetscError, DIRECT
AOCreateBasic,ISCreateGeneral, DIRECT
AOCreateBasic,PetscError, DIRECT
AOCreateBasic,AOCreateBasicIS, DIRECT
AOCreateBasic,PetscError, DIRECT
AOCreateBasic,ISDestroy, DIRECT
AOCreateBasic,PetscError, DIRECT
AOCreateBasic,ISDestroy, DIRECT
AOCreateBasic,PetscError, DIRECT
AOCreateBasic,printf, DIRECT
AOCreateBasic,printf, DIRECT
AOCreateBasicIS,PetscObjectGetComm, DIRECT
AOCreateBasicIS,PetscError, DIRECT
AOCreateBasicIS,AOCreate, DIRECT
AOCreateBasicIS,PetscError, DIRECT
AOCreateBasicIS,AOSetIS, DIRECT
AOCreateBasicIS,PetscError, DIRECT
AOCreateBasicIS,AOSetType, DIRECT
AOCreateBasicIS,PetscError, DIRECT
AOCreateBasicIS,AOViewFromOptions, DIRECT
AOCreateBasicIS,PetscError, DIRECT
AOCreateBasicIS,printf, DIRECT
AOCreateBasicIS,printf, DIRECT
