CALLER, CALLEE, CALLTYPE
AOView,PetscError, DIRECT
AOView,PetscCheckPointer, DIRECT
AOView,PetscError, DIRECT
AOView,PetscError, DIRECT
AOView,PetscError, DIRECT
AOView,PetscObjectComm, DIRECT
AOView,PetscViewerASCIIGetStdout, DIRECT
AOView,PetscError, DIRECT
AOView,PetscError, DIRECT
AOView,PetscCheckPointer, DIRECT
AOView,PetscError, DIRECT
AOView,PetscError, DIRECT
AOView,PetscError, DIRECT
AOView,PetscObjectPrintClassNamePrefixType, DIRECT
AOView,PetscError, DIRECT
AOView,EMPTYNAME = (_AOOps->any pointer@i64 0) :: i32 (%struct._p_AO*, %struct._p_PetscViewer*)*, INDIRECT 
AOView,PetscError, DIRECT
AOView,printf, DIRECT
AOView,printf, DIRECT
AOViewFromOptions,PetscError, DIRECT
AOViewFromOptions,PetscCheckPointer, DIRECT
AOViewFromOptions,PetscError, DIRECT
AOViewFromOptions,PetscError, DIRECT
AOViewFromOptions,PetscError, DIRECT
AOViewFromOptions,PetscObjectViewFromOptions, DIRECT
AOViewFromOptions,PetscError, DIRECT
AOViewFromOptions,printf, DIRECT
AOViewFromOptions,printf, DIRECT
AODestroy,printf, DIRECT
AODestroy,printf, DIRECT
AODestroy,PetscCheckPointer, DIRECT
AODestroy,PetscError, DIRECT
AODestroy,PetscError, DIRECT
AODestroy,PetscError, DIRECT
AODestroy,printf, DIRECT
AODestroy,printf, DIRECT
AODestroy,ISDestroy, DIRECT
AODestroy,PetscError, DIRECT
AODestroy,ISDestroy, DIRECT
AODestroy,PetscError, DIRECT
AODestroy,EMPTYNAME = (_AOOps->any pointer@i64 8) :: i32 (%struct._p_AO*)*, INDIRECT 
AODestroy,PetscError, DIRECT
AODestroy,PetscHeaderDestroy_Private, DIRECT
AODestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
AODestroy,PetscError, DIRECT
AODestroy,printf, DIRECT
AODestroy,printf, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,PetscCheckPointer, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,PetscCheckPointer, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,ISToGeneral, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,ISGetIndices, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,ISGetLocalSize, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,EMPTYNAME = (_AOOps->any pointer@i64 16) :: i32 (%struct._p_AO*, i32, i32*)*, INDIRECT 
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,ISRestoreIndices, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,ISSetUp_General, DIRECT
AOPetscToApplicationIS,PetscError, DIRECT
AOPetscToApplicationIS,printf, DIRECT
AOPetscToApplicationIS,printf, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,PetscCheckPointer, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,PetscCheckPointer, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,ISToGeneral, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,ISGetIndices, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,ISGetLocalSize, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,EMPTYNAME = (_AOOps->any pointer@i64 24) :: i32 (%struct._p_AO*, i32, i32*)*, INDIRECT 
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,ISRestoreIndices, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,ISSetUp_General, DIRECT
AOApplicationToPetscIS,PetscError, DIRECT
AOApplicationToPetscIS,printf, DIRECT
AOApplicationToPetscIS,printf, DIRECT
AOPetscToApplication,PetscError, DIRECT
AOPetscToApplication,PetscCheckPointer, DIRECT
AOPetscToApplication,PetscError, DIRECT
AOPetscToApplication,PetscError, DIRECT
AOPetscToApplication,PetscError, DIRECT
AOPetscToApplication,PetscError, DIRECT
AOPetscToApplication,PetscCheckPointer, DIRECT
AOPetscToApplication,PetscError, DIRECT
AOPetscToApplication,EMPTYNAME = (_AOOps->any pointer@i64 16) :: i32 (%struct._p_AO*, i32, i32*)*, INDIRECT 
AOPetscToApplication,PetscError, DIRECT
AOPetscToApplication,printf, DIRECT
AOPetscToApplication,printf, DIRECT
AOApplicationToPetsc,PetscError, DIRECT
AOApplicationToPetsc,PetscCheckPointer, DIRECT
AOApplicationToPetsc,PetscError, DIRECT
AOApplicationToPetsc,PetscError, DIRECT
AOApplicationToPetsc,PetscError, DIRECT
AOApplicationToPetsc,PetscError, DIRECT
AOApplicationToPetsc,PetscCheckPointer, DIRECT
AOApplicationToPetsc,PetscError, DIRECT
AOApplicationToPetsc,EMPTYNAME = (_AOOps->any pointer@i64 24) :: i32 (%struct._p_AO*, i32, i32*)*, INDIRECT 
AOApplicationToPetsc,PetscError, DIRECT
AOApplicationToPetsc,printf, DIRECT
AOApplicationToPetsc,printf, DIRECT
AOPetscToApplicationPermuteInt,PetscError, DIRECT
AOPetscToApplicationPermuteInt,PetscCheckPointer, DIRECT
AOPetscToApplicationPermuteInt,PetscError, DIRECT
AOPetscToApplicationPermuteInt,PetscError, DIRECT
AOPetscToApplicationPermuteInt,PetscError, DIRECT
AOPetscToApplicationPermuteInt,PetscError, DIRECT
AOPetscToApplicationPermuteInt,PetscCheckPointer, DIRECT
AOPetscToApplicationPermuteInt,PetscError, DIRECT
AOPetscToApplicationPermuteInt,EMPTYNAME = (_AOOps->any pointer@i64 32) :: i32 (%struct._p_AO*, i32, i32*)*, INDIRECT 
AOPetscToApplicationPermuteInt,PetscError, DIRECT
AOPetscToApplicationPermuteInt,printf, DIRECT
AOPetscToApplicationPermuteInt,printf, DIRECT
AOApplicationToPetscPermuteInt,PetscError, DIRECT
AOApplicationToPetscPermuteInt,PetscCheckPointer, DIRECT
AOApplicationToPetscPermuteInt,PetscError, DIRECT
AOApplicationToPetscPermuteInt,PetscError, DIRECT
AOApplicationToPetscPermuteInt,PetscError, DIRECT
AOApplicationToPetscPermuteInt,PetscError, DIRECT
