CALLER, CALLEE, CALLTYPE
ISDuplicate_Stride,PetscObjectComm, DIRECT
ISDuplicate_Stride,ISCreateStride, DIRECT
ISDuplicate_Stride,PetscError, DIRECT
ISDuplicate_Stride,printf, DIRECT
ISDuplicate_Stride,printf, DIRECT
ISCreateStride,ISCreate, DIRECT
ISCreateStride,PetscError, DIRECT
ISCreateStride,ISSetType, DIRECT
ISCreateStride,PetscError, DIRECT
ISCreateStride,ISStrideSetStride, DIRECT
ISCreateStride,PetscError, DIRECT
ISCreateStride,printf, DIRECT
ISCreateStride,printf, DIRECT
ISInvertPermutation_Stride,ISGetInfo, DIRECT
ISInvertPermutation_Stride,PetscError, DIRECT
ISInvertPermutation_Stride,PetscLayoutGetRange, DIRECT
ISInvertPermutation_Stride,PetscError, DIRECT
ISInvertPermutation_Stride,ISCreateStride, DIRECT
ISInvertPermutation_Stride,PetscError, DIRECT
ISInvertPermutation_Stride,ISGetIndices, DIRECT
ISInvertPermutation_Stride,PetscError, DIRECT
ISInvertPermutation_Stride,PetscObjectComm, DIRECT
ISInvertPermutation_Stride,ISCreateGeneral, DIRECT
ISInvertPermutation_Stride,PetscError, DIRECT
ISInvertPermutation_Stride,ISSetPermutation, DIRECT
ISInvertPermutation_Stride,PetscError, DIRECT
ISInvertPermutation_Stride,ISRestoreIndices, DIRECT
ISInvertPermutation_Stride,PetscError, DIRECT
ISInvertPermutation_Stride,ISInvertPermutation, DIRECT
ISInvertPermutation_Stride,PetscError, DIRECT
ISInvertPermutation_Stride,ISDestroy, DIRECT
ISInvertPermutation_Stride,PetscError, DIRECT
ISInvertPermutation_Stride,printf, DIRECT
ISInvertPermutation_Stride,printf, DIRECT
ISStrideGetInfo,PetscError, DIRECT
ISStrideGetInfo,PetscCheckPointer, DIRECT
ISStrideGetInfo,PetscError, DIRECT
ISStrideGetInfo,PetscError, DIRECT
ISStrideGetInfo,PetscError, DIRECT
ISStrideGetInfo,PetscCheckPointer, DIRECT
ISStrideGetInfo,PetscError, DIRECT
ISStrideGetInfo,PetscCheckPointer, DIRECT
ISStrideGetInfo,PetscError, DIRECT
ISStrideGetInfo,PetscObjectTypeCompare, DIRECT
ISStrideGetInfo,PetscError, DIRECT
ISStrideGetInfo,PetscObjectComm, DIRECT
ISStrideGetInfo,PetscError, DIRECT
ISStrideGetInfo,printf, DIRECT
ISStrideGetInfo,printf, DIRECT
ISDestroy_Stride,PetscObjectComposeFunction_Private, DIRECT
ISDestroy_Stride,PetscError, DIRECT
ISDestroy_Stride,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
ISDestroy_Stride,PetscError, DIRECT
ISDestroy_Stride,printf, DIRECT
ISDestroy_Stride,printf, DIRECT
ISToGeneral_Stride,ISGetLocalSize, DIRECT
ISToGeneral_Stride,PetscError, DIRECT
ISToGeneral_Stride,ISGetIndices, DIRECT
ISToGeneral_Stride,PetscError, DIRECT
ISToGeneral_Stride,ISSetType, DIRECT
ISToGeneral_Stride,PetscError, DIRECT
ISToGeneral_Stride,ISGeneralSetIndices, DIRECT
ISToGeneral_Stride,PetscError, DIRECT
ISToGeneral_Stride,printf, DIRECT
ISToGeneral_Stride,printf, DIRECT
ISLocate_Stride,printf, DIRECT
ISLocate_Stride,printf, DIRECT
ISGetIndices_Stride,PetscMallocA, DIRECT
ISGetIndices_Stride,PetscError, DIRECT
ISGetIndices_Stride,printf, DIRECT
ISGetIndices_Stride,printf, DIRECT
ISRestoreIndices_Stride,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
ISRestoreIndices_Stride,PetscError, DIRECT
ISRestoreIndices_Stride,printf, DIRECT
