CALLER, CALLEE, CALLTYPE
petsclayoutfindowner_,PetscError, DIRECT
petsclayoutfindowner_,PetscError, DIRECT
petsclayoutfindowner_,printf, DIRECT
petsclayoutfindowner_,printf, DIRECT
petsclayoutfindownerindex_,PetscError, DIRECT
petsclayoutfindownerindex_,PetscError, DIRECT
petsclayoutfindownerindex_,printf, DIRECT
petsclayoutfindownerindex_,printf, DIRECT
isview_,PETSC_VIEWER_DRAW_, DIRECT
isview_,PETSC_VIEWER_DRAW_, DIRECT
isview_,PETSC_VIEWER_STDOUT_, DIRECT
isview_,PETSC_VIEWER_STDOUT_, DIRECT
isview_,PETSC_VIEWER_STDERR_, DIRECT
isview_,PETSC_VIEWER_STDERR_, DIRECT
isview_,PETSC_VIEWER_BINARY_, DIRECT
isview_,PETSC_VIEWER_BINARY_, DIRECT
isview_,PETSC_VIEWER_BINARY_, DIRECT
isview_,PETSC_VIEWER_BINARY_, DIRECT
isview_,PETSC_VIEWER_SOCKET_, DIRECT
isview_,PETSC_VIEWER_SOCKET_, DIRECT
isview_,ISView, DIRECT
isgetindices_,ISGetIndices, DIRECT
isgetindices_,PetscIntAddressToFortran, DIRECT
isrestoreindices_,PetscIntAddressFromFortran, DIRECT
isrestoreindices_,ISRestoreIndices, DIRECT
isgettotalindices_,ISGetTotalIndices, DIRECT
isgettotalindices_,PetscIntAddressToFortran, DIRECT
isrestoretotalindices_,PetscIntAddressFromFortran, DIRECT
isrestoretotalindices_,ISRestoreTotalIndices, DIRECT
isgetnonlocalindices_,ISGetNonlocalIndices, DIRECT
isgetnonlocalindices_,PetscIntAddressToFortran, DIRECT
isrestorenonlocalindices_,PetscIntAddressFromFortran, DIRECT
isrestorenonlocalindices_,ISRestoreNonlocalIndices, DIRECT
islocaltoglobalmappinggetindices_,ISLocalToGlobalMappingGetIndices, DIRECT
islocaltoglobalmappinggetindices_,PetscIntAddressToFortran, DIRECT
islocaltoglobalmappingrestoreindices_,PetscIntAddressFromFortran, DIRECT
islocaltoglobalmappingrestoreindices_,ISLocalToGlobalMappingRestoreIndices, DIRECT
islocaltoglobalmappinggetblockindices_,ISLocalToGlobalMappingGetBlockIndices, DIRECT
islocaltoglobalmappinggetblockindices_,PetscIntAddressToFortran, DIRECT
islocaltoglobalmappingrestoreblockindices_,PetscIntAddressFromFortran, DIRECT
islocaltoglobalmappingrestoreblockindices_,ISLocalToGlobalMappingRestoreBlockIndices, DIRECT
isviewfromoptions_,PetscMallocA, DIRECT
isviewfromoptions_,PetscStrncpy, DIRECT
isviewfromoptions_,PetscError, DIRECT
isviewfromoptions_,ISViewFromOptions, DIRECT
isviewfromoptions_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
