CALLER, CALLEE, CALLTYPE
ISRenumber,PetscError, DIRECT
ISRenumber,PetscCheckPointer, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscCheckPointer, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,printf, DIRECT
ISRenumber,printf, DIRECT
ISRenumber,ISGetLocalSize, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,ISGetLocalSize, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,ISGetIndices, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,MPI_Comm_size, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,MPI_Allreduce, DIRECT
ISRenumber,MPI_Error_string, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,MPI_Comm_size, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,MPI_Allreduce, DIRECT
ISRenumber,MPI_Error_string, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,PetscLayoutCreate, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscLayoutSetBlockSize, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscLayoutSetSize, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscLayoutSetUp, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscLayoutGetLocalSize, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscMallocA, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,ISGetIndices, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscMemcpy, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,ISRestoreIndices, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscMallocA, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,ISRestoreIndices, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,PetscSFCreate, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscSFSetGraphLayout, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscLayoutDestroy, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscMemzero, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscSFReduceBegin, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscSFReduceEnd, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,MPI_Exscan, DIRECT
ISRenumber,MPI_Error_string, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,MPI_Comm_size, DIRECT
ISRenumber,MPI_Error_string, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,MPI_Comm_size, DIRECT
ISRenumber,PetscObjectComm, DIRECT
ISRenumber,MPI_Bcast, DIRECT
ISRenumber,MPI_Error_string, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
ISRenumber,PetscError, DIRECT
ISRenumber,PetscSFDestroy, DIRECT
ISRenumber,PetscError, DIRECT
ISRenumber,PetscFreeA, DIRECT
ISRenumber,PetscError, DIRECT
