CALLER, CALLEE, CALLTYPE
ISDifference,PetscError, DIRECT
ISDifference,PetscCheckPointer, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscCheckPointer, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,ISDuplicate, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,printf, DIRECT
ISDifference,printf, DIRECT
ISDifference,PetscCheckPointer, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,ISGetIndices, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,ISGetLocalSize, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscBTCreate, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,ISRestoreIndices, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,ISGetIndices, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,ISGetLocalSize, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,ISRestoreIndices, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscMallocA, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscObjectGetComm, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,ISCreateGeneral, DIRECT
ISDifference,PetscError, DIRECT
ISDifference,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
ISDifference,PetscError, DIRECT
ISDifference,printf, DIRECT
ISDifference,printf, DIRECT
PetscBTCreate,PetscMallocA, DIRECT
PetscBTCreate,PetscError, DIRECT
ISSum,PetscError, DIRECT
ISSum,PetscCheckPointer, DIRECT
ISSum,PetscError, DIRECT
ISSum,PetscError, DIRECT
ISSum,PetscError, DIRECT
ISSum,PetscError, DIRECT
ISSum,PetscCheckPointer, DIRECT
ISSum,PetscError, DIRECT
ISSum,PetscError, DIRECT
ISSum,PetscError, DIRECT
