CALLER, CALLEE, CALLTYPE
PetscSFGetGraph_Allgatherv,PetscObjectComm, DIRECT
PetscSFGetGraph_Allgatherv,MPI_Comm_size, DIRECT
PetscSFGetGraph_Allgatherv,MPI_Error_string, DIRECT
PetscSFGetGraph_Allgatherv,PetscError, DIRECT
PetscSFGetGraph_Allgatherv,PetscLayoutGetRanges, DIRECT
PetscSFGetGraph_Allgatherv,PetscError, DIRECT
PetscSFGetGraph_Allgatherv,PetscMallocA, DIRECT
PetscSFGetGraph_Allgatherv,PetscError, DIRECT
PetscSFGetGraph_Allgatherv,printf, DIRECT
PetscSFGetGraph_Allgatherv,printf, DIRECT
PetscSFSetUp_Allgatherv,PetscSFSetUp_Allgather, DIRECT
PetscSFSetUp_Allgatherv,PetscError, DIRECT
PetscSFSetUp_Allgatherv,PetscObjectComm, DIRECT
PetscSFSetUp_Allgatherv,MPI_Comm_size, DIRECT
PetscSFSetUp_Allgatherv,MPI_Error_string, DIRECT
PetscSFSetUp_Allgatherv,PetscError, DIRECT
PetscSFSetUp_Allgatherv,PetscMallocA, DIRECT
PetscSFSetUp_Allgatherv,PetscError, DIRECT
PetscSFSetUp_Allgatherv,PetscMallocA, DIRECT
PetscSFSetUp_Allgatherv,PetscError, DIRECT
PetscSFSetUp_Allgatherv,PetscLayoutGetRanges, DIRECT
PetscSFSetUp_Allgatherv,PetscError, DIRECT
PetscSFSetUp_Allgatherv,PetscMPIIntCast, DIRECT
PetscSFSetUp_Allgatherv,PetscMPIIntCast, DIRECT
PetscSFSetUp_Allgatherv,printf, DIRECT
PetscSFSetUp_Allgatherv,printf, DIRECT
PetscMPIIntCast,printf, DIRECT
PetscMPIIntCast,printf, DIRECT
PetscSFReset_Allgatherv,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscSFReset_Allgatherv,PetscError, DIRECT
PetscSFReset_Allgatherv,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscSFReset_Allgatherv,PetscError, DIRECT
PetscSFReset_Allgatherv,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscSFReset_Allgatherv,PetscError, DIRECT
PetscSFReset_Allgatherv,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscSFReset_Allgatherv,PetscError, DIRECT
PetscSFReset_Allgatherv,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscSFReset_Allgatherv,PetscError, DIRECT
PetscSFReset_Allgatherv,PetscObjectComm, DIRECT
PetscSFReset_Allgatherv,PetscError, DIRECT
PetscSFReset_Allgatherv,PetscSFLinkDestroy, DIRECT
PetscSFReset_Allgatherv,PetscError, DIRECT
PetscSFReset_Allgatherv,printf, DIRECT
PetscSFReset_Allgatherv,printf, DIRECT
PetscSFDestroy_Allgatherv,PetscSFReset_Allgatherv, DIRECT
PetscSFDestroy_Allgatherv,PetscError, DIRECT
PetscSFDestroy_Allgatherv,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscSFDestroy_Allgatherv,PetscError, DIRECT
PetscSFDestroy_Allgatherv,printf, DIRECT
PetscSFDestroy_Allgatherv,printf, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscObjectGetComm, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscSFLinkCreate, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscSFLinkPackLeafData, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,EMPTYNAME = (_n_PetscSFLink->any pointer@i64 0) :: i32 (%struct._n_PetscSFLink*, i32, i8*, i32, i8*, i64)*, INDIRECT 
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscSFLinkGetInUse, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,MPI_Comm_rank, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,MPI_Error_string, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,MPI_Comm_size, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,MPI_Error_string, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscMPIIntCast, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,MPI_Sendrecv_replace, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,MPI_Error_string, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscMPIIntCast, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,MPI_Exscan, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,MPI_Error_string, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscSFLinkReclaim, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscSFBcastBegin, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscSFBcastEnd, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscSFBcastToZero_Private, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscSFReduceBegin, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,printf, DIRECT
PetscSFFetchAndOpBegin_Allgatherv,printf, DIRECT
PetscSFFetchAndOpEnd_Allgatherv,PetscSFReduceEnd, DIRECT
PetscSFFetchAndOpEnd_Allgatherv,PetscError, DIRECT
PetscSFFetchAndOpEnd_Allgatherv,printf, DIRECT
PetscSFFetchAndOpEnd_Allgatherv,printf, DIRECT
PetscSFGetRootRanks_Allgatherv,PetscLayoutGetRanges, DIRECT
PetscSFGetRootRanks_Allgatherv,PetscError, DIRECT
PetscSFGetRootRanks_Allgatherv,PetscMallocA, DIRECT
PetscSFGetRootRanks_Allgatherv,PetscError, DIRECT
PetscSFGetRootRanks_Allgatherv,PetscError, DIRECT
PetscSFGetRootRanks_Allgatherv,PetscError, DIRECT
PetscSFGetRootRanks_Allgatherv,PetscError, DIRECT
PetscSFGetRootRanks_Allgatherv,printf, DIRECT
PetscSFGetRootRanks_Allgatherv,printf, DIRECT
PetscSFGetRootRanks_Allgatherv,PetscError, DIRECT
PetscSFGetRootRanks_Allgatherv,printf, DIRECT
PetscSFGetRootRanks_Allgatherv,printf, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscObjectGetComm, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscError, DIRECT
PetscSFGetLeafRanks_Allgatherv,MPI_Comm_size, DIRECT
PetscSFGetLeafRanks_Allgatherv,MPI_Error_string, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscError, DIRECT
PetscSFGetLeafRanks_Allgatherv,MPI_Comm_rank, DIRECT
PetscSFGetLeafRanks_Allgatherv,MPI_Error_string, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscError, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscMallocA, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscError, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscMallocA, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscError, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscMallocA, DIRECT
PetscSFGetLeafRanks_Allgatherv,PetscError, DIRECT
PetscSFGetLeafRanks_Allgatherv,printf, DIRECT
PetscSFGetLeafRanks_Allgatherv,printf, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscMallocA, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscError, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscMallocA, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscError, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscLayoutGetRange, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscError, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscSFCreate, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscError, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscSFSetGraph, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscError, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscSFSetUp, DIRECT
PetscSFCreateLocalSF_Allgatherv,PetscError, DIRECT
PetscSFCreateLocalSF_Allgatherv,printf, DIRECT
PetscSFCreateLocalSF_Allgatherv,printf, DIRECT
PetscSFCreate_Allgatherv,PetscMallocA, DIRECT
PetscSFCreate_Allgatherv,PetscLogObjectMemory, DIRECT
PetscSFCreate_Allgatherv,PetscError, DIRECT
PetscSFCreate_Allgatherv,printf, DIRECT
PetscSFCreate_Allgatherv,printf, DIRECT
PetscSFBcastBegin_Allgatherv,PetscSFLinkCreate, DIRECT
PetscSFBcastBegin_Allgatherv,PetscError, DIRECT
PetscSFBcastBegin_Allgatherv,PetscSFLinkPackRootData, DIRECT
PetscSFBcastBegin_Allgatherv,PetscError, DIRECT
PetscSFBcastBegin_Allgatherv,PetscObjectGetComm, DIRECT
PetscSFBcastBegin_Allgatherv,PetscError, DIRECT
PetscSFBcastBegin_Allgatherv,PetscMPIIntCast, DIRECT
PetscSFBcastBegin_Allgatherv,PetscSFLinkGetMPIBuffersAndRequests, DIRECT
PetscSFBcastBegin_Allgatherv,PetscError, DIRECT
PetscSFBcastBegin_Allgatherv,MPI_Comm_size, DIRECT
PetscSFBcastBegin_Allgatherv,MPI_Iallgatherv, DIRECT
PetscSFBcastBegin_Allgatherv,MPI_Error_string, DIRECT
PetscSFBcastBegin_Allgatherv,PetscError, DIRECT
PetscSFBcastBegin_Allgatherv,printf, DIRECT
PetscSFBcastBegin_Allgatherv,printf, DIRECT
PetscSFReduceBegin_Allgatherv,PetscSFLinkCreate, DIRECT
PetscSFReduceBegin_Allgatherv,PetscError, DIRECT
PetscSFReduceBegin_Allgatherv,PetscLayoutGetRange, DIRECT
PetscSFReduceBegin_Allgatherv,PetscError, DIRECT
PetscSFReduceBegin_Allgatherv,EMPTYNAME = (_n_PetscSFLink->any pointer@i64 0) :: i32 (%struct._n_PetscSFLink*, i32, i8*, i32, i8*, i64)*, INDIRECT 
PetscSFReduceBegin_Allgatherv,PetscError, DIRECT
PetscSFReduceBegin_Allgatherv,EMPTYNAME = (_n_PetscSFLink->any pointer@i64 48) :: i32 (%struct._n_PetscSFLink*)*, INDIRECT 
PetscSFReduceBegin_Allgatherv,PetscError, DIRECT
PetscSFReduceBegin_Allgatherv,PetscObjectGetComm, DIRECT
PetscSFReduceBegin_Allgatherv,PetscError, DIRECT
PetscSFReduceBegin_Allgatherv,MPI_Comm_rank, DIRECT
PetscSFReduceBegin_Allgatherv,MPI_Error_string, DIRECT
PetscSFReduceBegin_Allgatherv,PetscError, DIRECT
PetscSFReduceBegin_Allgatherv,PetscSFLinkPackLeafData, DIRECT
PetscSFReduceBegin_Allgatherv,PetscError, DIRECT
PetscSFReduceBegin_Allgatherv,PetscSFLinkGetMPIBuffersAndRequests, DIRECT
PetscSFReduceBegin_Allgatherv,PetscError, DIRECT
PetscSFReduceBegin_Allgatherv,PetscMPIIntCast, DIRECT
PetscSFReduceBegin_Allgatherv,PetscTrMalloc = (any pointer->any pointer@i64 0) :: i32 (i64, i32, i32, i8*, i8*, i8**)*, INDIRECT 
