CALLER, CALLEE, CALLTYPE
petscsfview_,PETSC_VIEWER_DRAW_, DIRECT
petscsfview_,PETSC_VIEWER_DRAW_, DIRECT
petscsfview_,PETSC_VIEWER_STDOUT_, DIRECT
petscsfview_,PETSC_VIEWER_STDOUT_, DIRECT
petscsfview_,PETSC_VIEWER_STDERR_, DIRECT
petscsfview_,PETSC_VIEWER_STDERR_, DIRECT
petscsfview_,PETSC_VIEWER_BINARY_, DIRECT
petscsfview_,PETSC_VIEWER_BINARY_, DIRECT
petscsfview_,PETSC_VIEWER_BINARY_, DIRECT
petscsfview_,PETSC_VIEWER_BINARY_, DIRECT
petscsfview_,PETSC_VIEWER_SOCKET_, DIRECT
petscsfview_,PETSC_VIEWER_SOCKET_, DIRECT
petscsfview_,PetscSFView, DIRECT
petscsfgetgraph_,PetscSFGetGraph, DIRECT
petscsfgetgraph_,F90Array1dCreate, DIRECT
petscsfgetgraph_,f90arraysfnodecreate_, DIRECT
petscsfbcastbegin_,MPI_Op_f2c, DIRECT
petscsfbcastbegin_,PetscMPIFortranDatatypeToC, DIRECT
petscsfbcastbegin_,F90Array1dAccess, DIRECT
petscsfbcastbegin_,F90Array1dAccess, DIRECT
petscsfbcastbegin_,PetscSFBcastBegin, DIRECT
petscsfbcastend_,MPI_Op_f2c, DIRECT
petscsfbcastend_,PetscMPIFortranDatatypeToC, DIRECT
petscsfbcastend_,F90Array1dAccess, DIRECT
petscsfbcastend_,F90Array1dAccess, DIRECT
petscsfbcastend_,PetscSFBcastEnd, DIRECT
petscsfviewfromoptions_,PetscMallocA, DIRECT
petscsfviewfromoptions_,PetscStrncpy, DIRECT
petscsfviewfromoptions_,PetscError, DIRECT
petscsfviewfromoptions_,PetscSFViewFromOptions, DIRECT
petscsfviewfromoptions_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
petscsfdestroy_,PetscSFDestroy, DIRECT
