CALLER, CALLEE, CALLTYPE
islocaltoglobalmappingduplicate_,ISLocalToGlobalMappingDuplicate, DIRECT
islocaltoglobalmappinggetsize_,ISLocalToGlobalMappingGetSize, DIRECT
islocaltoglobalmappingcreateis_,ISLocalToGlobalMappingCreateIS, DIRECT
islocaltoglobalmappingsetblocksize_,ISLocalToGlobalMappingSetBlockSize, DIRECT
islocaltoglobalmappinggetblocksize_,ISLocalToGlobalMappingGetBlockSize, DIRECT
islocaltoglobalmappingcreate_,MPI_Comm_f2c, DIRECT
islocaltoglobalmappingcreate_,ISLocalToGlobalMappingCreate, DIRECT
islocaltoglobalmappingsetfromoptions_,ISLocalToGlobalMappingSetFromOptions, DIRECT
islocaltoglobalmappingdestroy_,ISLocalToGlobalMappingDestroy, DIRECT
islocaltoglobalmappingapplyis_,ISLocalToGlobalMappingApplyIS, DIRECT
islocaltoglobalmappingapply_,ISLocalToGlobalMappingApply, DIRECT
islocaltoglobalmappingapplyblock_,ISLocalToGlobalMappingApplyBlock, DIRECT
isglobaltolocalmappingapply_,ISGlobalToLocalMappingApply, DIRECT
isglobaltolocalmappingapplyis_,ISGlobalToLocalMappingApplyIS, DIRECT
isglobaltolocalmappingapplyblock_,ISGlobalToLocalMappingApplyBlock, DIRECT
