CALLER, CALLEE, CALLTYPE
islocaltoglobalmappingview_,PETSC_VIEWER_DRAW_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_DRAW_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_STDOUT_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_STDOUT_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_STDERR_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_STDERR_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_BINARY_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_BINARY_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_BINARY_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_BINARY_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_SOCKET_, DIRECT
islocaltoglobalmappingview_,PETSC_VIEWER_SOCKET_, DIRECT
islocaltoglobalmappingview_,ISLocalToGlobalMappingView, DIRECT
islocaltoglobalmpnggetinfosize_,ISLocalToGlobalMappingGetInfo, DIRECT
islocaltoglobalmappinggetinfo_,PetscMemcpy, DIRECT
islocaltoglobalmappinggetinfo_,PetscMemcpy, DIRECT
islocaltoglobalmappinggetinfo_,ISLocalToGlobalMappingRestoreInfo, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
islocaltoglobalmappingviewfromoptions_,PetscMallocA, DIRECT
islocaltoglobalmappingviewfromoptions_,PetscStrncpy, DIRECT
islocaltoglobalmappingviewfromoptions_,PetscError, DIRECT
islocaltoglobalmappingviewfromoptions_,ISLocalToGlobalMappingViewFromOptions, DIRECT
islocaltoglobalmappingviewfromoptions_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
