CALLER, CALLEE, CALLTYPE
petscsectiongetpointsyms_,PetscSectionGetPointSyms, DIRECT
petscsectionrestorepointsyms_,PetscSectionRestorePointSyms, DIRECT
petscsectiongetfieldpointsyms_,PetscSectionGetFieldPointSyms, DIRECT
petscsectionrestorefieldpointsyms_,PetscSectionRestoreFieldPointSyms, DIRECT
petscsectionview_,PETSC_VIEWER_DRAW_, DIRECT
petscsectionview_,PETSC_VIEWER_DRAW_, DIRECT
petscsectionview_,PETSC_VIEWER_STDOUT_, DIRECT
petscsectionview_,PETSC_VIEWER_STDOUT_, DIRECT
petscsectionview_,PETSC_VIEWER_STDERR_, DIRECT
petscsectionview_,PETSC_VIEWER_STDERR_, DIRECT
petscsectionview_,PETSC_VIEWER_BINARY_, DIRECT
petscsectionview_,PETSC_VIEWER_BINARY_, DIRECT
petscsectionview_,PETSC_VIEWER_BINARY_, DIRECT
petscsectionview_,PETSC_VIEWER_BINARY_, DIRECT
petscsectionview_,PETSC_VIEWER_SOCKET_, DIRECT
petscsectionview_,PETSC_VIEWER_SOCKET_, DIRECT
petscsectionview_,PetscSectionView, DIRECT
petscsectiongetfieldname_,PetscSectionGetFieldName, DIRECT
petscsectiongetfieldname_,PetscStrncpy, DIRECT
petscsectionsetfieldname_,PetscMallocA, DIRECT
petscsectionsetfieldname_,PetscStrncpy, DIRECT
petscsectionsetfieldname_,PetscSectionSetFieldName, DIRECT
petscsectionsetfieldname_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
