CALLER, CALLEE, CALLTYPE
PetscLayoutCreate,PetscMallocA, DIRECT
PetscLayoutCreate,PetscError, DIRECT
PetscLayoutCreate,MPI_Comm_size, DIRECT
PetscLayoutCreate,MPI_Error_string, DIRECT
PetscLayoutCreate,PetscError, DIRECT
PetscLayoutCreate,printf, DIRECT
PetscLayoutCreate,printf, DIRECT
PetscLayoutCreateFromSizes,PetscLayoutCreate, DIRECT
PetscLayoutCreateFromSizes,PetscError, DIRECT
PetscLayoutCreateFromSizes,PetscLayoutSetLocalSize, DIRECT
PetscLayoutCreateFromSizes,PetscError, DIRECT
PetscLayoutCreateFromSizes,PetscLayoutSetSize, DIRECT
PetscLayoutCreateFromSizes,PetscLayoutSetBlockSize, DIRECT
PetscLayoutCreateFromSizes,PetscError, DIRECT
PetscLayoutCreateFromSizes,PetscLayoutSetUp, DIRECT
PetscLayoutCreateFromSizes,PetscError, DIRECT
PetscLayoutCreateFromSizes,printf, DIRECT
PetscLayoutCreateFromSizes,printf, DIRECT
PetscLayoutSetLocalSize,PetscError, DIRECT
PetscLayoutSetLocalSize,printf, DIRECT
PetscLayoutSetLocalSize,printf, DIRECT
PetscLayoutSetSize,printf, DIRECT
PetscLayoutSetSize,printf, DIRECT
PetscLayoutSetBlockSize,printf, DIRECT
PetscLayoutSetBlockSize,printf, DIRECT
PetscLayoutSetBlockSize,PetscError, DIRECT
PetscLayoutSetBlockSize,ISLocalToGlobalMappingGetBlockSize, DIRECT
PetscLayoutSetBlockSize,PetscError, DIRECT
PetscLayoutSetBlockSize,ISLocalToGlobalMappingSetBlockSize, DIRECT
PetscLayoutSetBlockSize,PetscError, DIRECT
PetscLayoutSetBlockSize,printf, DIRECT
PetscLayoutSetBlockSize,printf, DIRECT
PetscLayoutSetUp,PetscError, DIRECT
PetscLayoutSetUp,printf, DIRECT
PetscLayoutSetUp,printf, DIRECT
PetscLayoutSetUp,PetscError, DIRECT
PetscLayoutSetUp,PetscError, DIRECT
PetscLayoutSetUp,MPI_Comm_rank, DIRECT
PetscLayoutSetUp,MPI_Error_string, DIRECT
PetscLayoutSetUp,PetscError, DIRECT
PetscLayoutSetUp,PetscSplitOwnership, DIRECT
PetscLayoutSetUp,PetscError, DIRECT
PetscLayoutSetUp,PetscMallocA, DIRECT
PetscLayoutSetUp,PetscError, DIRECT
PetscLayoutSetUp,MPI_Comm_size, DIRECT
PetscLayoutSetUp,MPI_Allgather, DIRECT
PetscLayoutSetUp,MPI_Error_string, DIRECT
PetscLayoutSetUp,PetscError, DIRECT
PetscLayoutSetUp,printf, DIRECT
PetscLayoutSetUp,printf, DIRECT
PetscLayoutDestroy,printf, DIRECT
PetscLayoutDestroy,printf, DIRECT
PetscLayoutDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscLayoutDestroy,PetscError, DIRECT
PetscLayoutDestroy,ISLocalToGlobalMappingDestroy, DIRECT
PetscLayoutDestroy,PetscError, DIRECT
PetscLayoutDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscLayoutDestroy,PetscError, DIRECT
PetscLayoutDestroy,printf, DIRECT
PetscLayoutDestroy,printf, DIRECT
PetscLayoutCreateFromRanges,MPI_Comm_rank, DIRECT
PetscLayoutCreateFromRanges,MPI_Error_string, DIRECT
PetscLayoutCreateFromRanges,PetscError, DIRECT
