CALLER, CALLEE, CALLTYPE
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecGetArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,VecRestoreArrayRead, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,PetscLogFlops, DIRECT
VecMDot_Seq,PetscError, DIRECT
VecMDot_Seq,printf, DIRECT
VecMDot_Seq,printf, DIRECT
PetscLogFlops,PetscError, DIRECT
PetscLogFlops,printf, DIRECT
PetscLogFlops,printf, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecRestoreArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecRestoreArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecRestoreArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecRestoreArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecRestoreArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecRestoreArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
VecMTDot_Seq,VecGetArrayRead, DIRECT
VecMTDot_Seq,PetscError, DIRECT
