CALLER, CALLEE, CALLTYPE
vecgetarrayf90_,PetscError, DIRECT
vecgetarrayf90_,VecGetArray, DIRECT
vecgetarrayf90_,VecGetLocalSize, DIRECT
vecgetarrayf90_,F90Array1dCreate, DIRECT
vecrestorearrayf90_,F90Array1dAccess, DIRECT
vecrestorearrayf90_,F90Array1dDestroy, DIRECT
vecrestorearrayf90_,VecRestoreArray, DIRECT
vecgetarrayreadf90_,PetscError, DIRECT
vecgetarrayreadf90_,VecGetArrayRead, DIRECT
vecgetarrayreadf90_,VecGetLocalSize, DIRECT
vecgetarrayreadf90_,F90Array1dCreate, DIRECT
vecrestorearrayreadf90_,F90Array1dAccess, DIRECT
vecrestorearrayreadf90_,F90Array1dDestroy, DIRECT
vecrestorearrayreadf90_,VecRestoreArrayRead, DIRECT
vecduplicatevecsf90_,VecDuplicateVecs, DIRECT
vecduplicatevecsf90_,PetscMallocA, DIRECT
vecduplicatevecsf90_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
vecduplicatevecsf90_,F90Array1dCreate, DIRECT
vecdestroyvecsf90_,F90Array1dAccess, DIRECT
vecdestroyvecsf90_,VecDestroy, DIRECT
vecdestroyvecsf90_,F90Array1dDestroy, DIRECT
vecdestroyvecsf90_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
vecdestroy_,VecDestroy, DIRECT
