CALLER, CALLEE, CALLTYPE
vecstrideset_,VecStrideSet, DIRECT
vecstridescale_,VecStrideScale, DIRECT
vecstridenorm_,VecStrideNorm, DIRECT
vecstridemax_,VecStrideMax, DIRECT
vecstridemin_,VecStrideMin, DIRECT
vecstridescaleall_,VecStrideScaleAll, DIRECT
vecstridenormall_,VecStrideNormAll, DIRECT
vecstridemaxall_,VecStrideMaxAll, DIRECT
vecstrideminall_,VecStrideMinAll, DIRECT
vecstridegatherall_,VecStrideGatherAll, DIRECT
vecstridescatterall_,VecStrideScatterAll, DIRECT
vecstridegather_,VecStrideGather, DIRECT
vecstridescatter_,VecStrideScatter, DIRECT
vecstridesubsetgather_,VecStrideSubSetGather, DIRECT
vecstridesubsetscatter_,VecStrideSubSetScatter, DIRECT
vecexp_,VecExp, DIRECT
veclog_,VecLog, DIRECT
vecsqrtabs_,VecSqrtAbs, DIRECT
vecdotnorm2_,VecDotNorm2, DIRECT
vecsum_,VecSum, DIRECT
vecimaginarypart_,VecImaginaryPart, DIRECT
vecrealpart_,VecRealPart, DIRECT
vecshift_,VecShift, DIRECT
vecabs_,VecAbs, DIRECT
vecpermute_,VecPermute, DIRECT
vecequal_,VecEqual, DIRECT
vecuniqueentries_,VecUniqueEntries, DIRECT
