CALLER, CALLEE, CALLTYPE
VecTaggerGetSubs_AndOr,PetscCheckPointer, DIRECT
VecTaggerGetSubs_AndOr,PetscError, DIRECT
VecTaggerGetSubs_AndOr,PetscError, DIRECT
VecTaggerGetSubs_AndOr,PetscError, DIRECT
VecTaggerGetSubs_AndOr,PetscCheckPointer, DIRECT
VecTaggerGetSubs_AndOr,PetscError, DIRECT
VecTaggerGetSubs_AndOr,PetscCheckPointer, DIRECT
VecTaggerGetSubs_AndOr,PetscError, DIRECT
VecTaggerGetSubs_AndOr,printf, DIRECT
VecTaggerGetSubs_AndOr,printf, DIRECT
VecTaggerSetSubs_AndOr,PetscCheckPointer, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscCheckPointer, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,printf, DIRECT
VecTaggerSetSubs_AndOr,printf, DIRECT
VecTaggerSetSubs_AndOr,PetscObjectReference, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,VecTaggerDestroy, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscMallocA, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscObjectDereference, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscObjectComm, DIRECT
VecTaggerSetSubs_AndOr,VecTaggerGetBlockSize, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscObjectGetOptionsPrefix, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscMallocA, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscSNPrintf, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,VecTaggerCreate, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,VecTaggerSetBlockSize, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscObjectSetOptionsPrefix, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,PetscObjectAppendOptionsPrefix, DIRECT
VecTaggerSetSubs_AndOr,PetscError, DIRECT
VecTaggerSetSubs_AndOr,printf, DIRECT
VecTaggerSetSubs_AndOr,printf, DIRECT
VecTaggerCreate_AndOr,PetscMallocA, DIRECT
VecTaggerCreate_AndOr,PetscLogObjectMemory, DIRECT
VecTaggerCreate_AndOr,PetscError, DIRECT
VecTaggerCreate_AndOr,printf, DIRECT
VecTaggerCreate_AndOr,printf, DIRECT
VecTaggerDestroy_AndOr,VecTaggerDestroy, DIRECT
VecTaggerDestroy_AndOr,PetscError, DIRECT
VecTaggerDestroy_AndOr,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecTaggerDestroy_AndOr,PetscError, DIRECT
VecTaggerDestroy_AndOr,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecTaggerDestroy_AndOr,PetscError, DIRECT
VecTaggerDestroy_AndOr,printf, DIRECT
VecTaggerDestroy_AndOr,printf, DIRECT
VecTaggerSetFromOptions_AndOr,PetscObjectGetType, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,VecTaggerGetSubs_AndOr, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,PetscSNPrintf, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,PetscSNPrintf, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,PetscSNPrintf, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,PetscOptionsHead, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,PetscOptionsInt_Private, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,printf, DIRECT
VecTaggerSetFromOptions_AndOr,printf, DIRECT
VecTaggerSetFromOptions_AndOr,VecTaggerSetSubs_AndOr, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,VecTaggerGetSubs_AndOr, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,VecTaggerSetFromOptions, DIRECT
VecTaggerSetFromOptions_AndOr,PetscError, DIRECT
VecTaggerSetFromOptions_AndOr,printf, DIRECT
VecTaggerSetFromOptions_AndOr,printf, DIRECT
VecTaggerSetUp_AndOr,VecTaggerGetSubs_AndOr, DIRECT
VecTaggerSetUp_AndOr,PetscError, DIRECT
VecTaggerSetUp_AndOr,PetscObjectComm, DIRECT
VecTaggerSetUp_AndOr,PetscError, DIRECT
VecTaggerSetUp_AndOr,VecTaggerSetUp, DIRECT
VecTaggerSetUp_AndOr,PetscError, DIRECT
VecTaggerSetUp_AndOr,printf, DIRECT
VecTaggerSetUp_AndOr,printf, DIRECT
VecTaggerView_AndOr,PetscObjectTypeCompare, DIRECT
VecTaggerView_AndOr,PetscError, DIRECT
VecTaggerView_AndOr,VecTaggerGetSubs_AndOr, DIRECT
VecTaggerView_AndOr,PetscError, DIRECT
VecTaggerView_AndOr,PetscObjectGetType, DIRECT
VecTaggerView_AndOr,PetscError, DIRECT
VecTaggerView_AndOr,PetscViewerASCIIPrintf, DIRECT
VecTaggerView_AndOr,PetscError, DIRECT
VecTaggerView_AndOr,PetscViewerASCIIPushTab, DIRECT
VecTaggerView_AndOr,PetscError, DIRECT
VecTaggerView_AndOr,VecTaggerView, DIRECT
VecTaggerView_AndOr,PetscError, DIRECT
VecTaggerView_AndOr,PetscViewerASCIIPopTab, DIRECT
VecTaggerView_AndOr,PetscError, DIRECT
VecTaggerView_AndOr,printf, DIRECT
VecTaggerView_AndOr,printf, DIRECT
VecTaggerAndOrIsSubBox_Private,printf, DIRECT
VecTaggerAndOrIsSubBox_Private,printf, DIRECT
VecTaggerAndOrIntersect_Private,printf, DIRECT
VecTaggerAndOrIntersect_Private,printf, DIRECT
