CALLER, CALLEE, CALLTYPE
VecTaggerCDFSetMethod,PetscCheckPointer, DIRECT
VecTaggerCDFSetMethod,PetscError, DIRECT
VecTaggerCDFSetMethod,PetscError, DIRECT
VecTaggerCDFSetMethod,PetscError, DIRECT
VecTaggerCDFSetMethod,PetscObjectComm, DIRECT
VecTaggerCDFSetMethod,MPI_Comm_size, DIRECT
VecTaggerCDFSetMethod,PetscObjectComm, DIRECT
VecTaggerCDFSetMethod,MPI_Allreduce, DIRECT
VecTaggerCDFSetMethod,MPI_Error_string, DIRECT
VecTaggerCDFSetMethod,PetscError, DIRECT
VecTaggerCDFSetMethod,PetscError, DIRECT
VecTaggerCDFSetMethod,PetscError, DIRECT
VecTaggerCDFSetMethod,PetscError, DIRECT
VecTaggerCDFSetMethod,PetscObjectComm, DIRECT
VecTaggerCDFSetMethod,MPI_Comm_size, DIRECT
VecTaggerCDFSetMethod,PetscObjectComm, DIRECT
VecTaggerCDFSetMethod,MPI_Allreduce, DIRECT
VecTaggerCDFSetMethod,MPI_Error_string, DIRECT
VecTaggerCDFSetMethod,PetscError, DIRECT
VecTaggerCDFSetMethod,PetscObjectComm, DIRECT
VecTaggerCDFSetMethod,PetscError, DIRECT
VecTaggerCDFSetMethod,printf, DIRECT
VecTaggerCDFSetMethod,printf, DIRECT
VecTaggerCDFGetMethod,PetscCheckPointer, DIRECT
VecTaggerCDFGetMethod,PetscError, DIRECT
VecTaggerCDFGetMethod,PetscError, DIRECT
VecTaggerCDFGetMethod,PetscError, DIRECT
VecTaggerCDFGetMethod,PetscError, DIRECT
VecTaggerCDFGetMethod,PetscCheckPointer, DIRECT
VecTaggerCDFGetMethod,PetscError, DIRECT
VecTaggerCDFGetMethod,printf, DIRECT
VecTaggerCDFGetMethod,printf, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscCheckPointer, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Comm_size, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Allreduce, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Error_string, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Comm_size, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Allreduce, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Error_string, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscIsNanReal, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Comm_size, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Allreduce, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Error_string, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Comm_size, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Allreduce, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Error_string, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscEqualReal, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscIsNanReal, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Comm_size, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Allreduce, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Error_string, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Comm_size, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Allreduce, DIRECT
VecTaggerCDFIterativeSetTolerances,MPI_Error_string, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscEqualReal, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscObjectComm, DIRECT
VecTaggerCDFIterativeSetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeSetTolerances,printf, DIRECT
VecTaggerCDFIterativeSetTolerances,printf, DIRECT
VecTaggerCDFIterativeGetTolerances,PetscCheckPointer, DIRECT
VecTaggerCDFIterativeGetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeGetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeGetTolerances,PetscError, DIRECT
VecTaggerCDFIterativeGetTolerances,printf, DIRECT
VecTaggerCDFIterativeGetTolerances,printf, DIRECT
VecTaggerCDFSetBox,VecTaggerSetBox_Simple, DIRECT
VecTaggerCDFSetBox,PetscError, DIRECT
VecTaggerCDFSetBox,printf, DIRECT
VecTaggerCDFSetBox,printf, DIRECT
VecTaggerCDFGetBox,VecTaggerGetBox_Simple, DIRECT
VecTaggerCDFGetBox,PetscError, DIRECT
VecTaggerCDFGetBox,printf, DIRECT
VecTaggerCDFGetBox,printf, DIRECT
VecTaggerCreate_CDF,VecTaggerCreate_Simple, DIRECT
VecTaggerCreate_CDF,PetscError, DIRECT
VecTaggerCreate_CDF,PetscMallocA, DIRECT
VecTaggerCreate_CDF,PetscLogObjectMemory, DIRECT
VecTaggerCreate_CDF,PetscError, DIRECT
VecTaggerCreate_CDF,PetscError, DIRECT
VecTaggerCreate_CDF,PetscError, DIRECT
VecTaggerCreate_CDF,PetscError, DIRECT
VecTaggerCreate_CDF,printf, DIRECT
VecTaggerCreate_CDF,printf, DIRECT
VecTaggerCreate_CDF,PetscError, DIRECT
VecTaggerCreate_CDF,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecTaggerCreate_CDF,PetscError, DIRECT
VecTaggerCreate_CDF,printf, DIRECT
VecTaggerCreate_CDF,printf, DIRECT
VecTaggerView_CDF,VecTaggerView_Simple, DIRECT
VecTaggerView_CDF,PetscError, DIRECT
VecTaggerView_CDF,PetscObjectComm, DIRECT
VecTaggerView_CDF,MPI_Comm_size, DIRECT
VecTaggerView_CDF,MPI_Error_string, DIRECT
VecTaggerView_CDF,PetscError, DIRECT
VecTaggerView_CDF,PetscObjectTypeCompare, DIRECT
VecTaggerView_CDF,PetscError, DIRECT
VecTaggerView_CDF,PetscViewerASCIIPrintf, DIRECT
VecTaggerView_CDF,PetscError, DIRECT
VecTaggerView_CDF,PetscViewerASCIIPushTab, DIRECT
VecTaggerView_CDF,PetscError, DIRECT
VecTaggerView_CDF,PetscViewerASCIIPrintf, DIRECT
VecTaggerView_CDF,PetscError, DIRECT
VecTaggerView_CDF,PetscViewerASCIIPopTab, DIRECT
VecTaggerView_CDF,PetscError, DIRECT
VecTaggerView_CDF,printf, DIRECT
VecTaggerView_CDF,printf, DIRECT
VecTaggerSetFromOptions_CDF,VecTaggerSetFromOptions_Simple, DIRECT
VecTaggerSetFromOptions_CDF,PetscError, DIRECT
VecTaggerSetFromOptions_CDF,PetscOptionsHead, DIRECT
VecTaggerSetFromOptions_CDF,PetscError, DIRECT
VecTaggerSetFromOptions_CDF,PetscOptionsEList_Private, DIRECT
VecTaggerSetFromOptions_CDF,PetscError, DIRECT
VecTaggerSetFromOptions_CDF,PetscOptionsInt_Private, DIRECT
VecTaggerSetFromOptions_CDF,PetscError, DIRECT
VecTaggerSetFromOptions_CDF,PetscOptionsReal_Private, DIRECT
VecTaggerSetFromOptions_CDF,PetscError, DIRECT
VecTaggerSetFromOptions_CDF,PetscOptionsReal_Private, DIRECT
VecTaggerSetFromOptions_CDF,PetscError, DIRECT
VecTaggerSetFromOptions_CDF,printf, DIRECT
VecTaggerSetFromOptions_CDF,printf, DIRECT
VecTaggerSetFromOptions_CDF,printf, DIRECT
VecTaggerSetFromOptions_CDF,printf, DIRECT
VecTaggerComputeBoxes_CDF,VecTaggerGetBlockSize, DIRECT
VecTaggerComputeBoxes_CDF,PetscError, DIRECT
VecTaggerComputeBoxes_CDF,PetscMallocA, DIRECT
