CALLER, CALLEE, CALLTYPE
VecTaggerOrGetSubs,VecTaggerGetSubs_AndOr, DIRECT
VecTaggerOrGetSubs,PetscError, DIRECT
VecTaggerOrGetSubs,printf, DIRECT
VecTaggerOrGetSubs,printf, DIRECT
VecTaggerOrSetSubs,VecTaggerSetSubs_AndOr, DIRECT
VecTaggerOrSetSubs,PetscError, DIRECT
VecTaggerOrSetSubs,printf, DIRECT
VecTaggerOrSetSubs,printf, DIRECT
VecTaggerCreate_Or,VecTaggerCreate_AndOr, DIRECT
VecTaggerCreate_Or,PetscError, DIRECT
VecTaggerCreate_Or,printf, DIRECT
VecTaggerCreate_Or,printf, DIRECT
VecTaggerComputeBoxes_Or,VecTaggerGetBlockSize, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,VecTaggerOrGetSubs, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,PetscMallocA, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,VecTaggerComputeBoxes, DIRECT
VecTaggerComputeBoxes_Or,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,PetscFreeA, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,PetscObjectComm, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,PetscMallocA, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,VecTaggerAndOrIsSubBox_Private, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,VecTaggerAndOrIsSubBox_Private, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,VecTaggerAndOrIsSubBox_Private, DIRECT
VecTaggerComputeBoxes_Or,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,PetscFreeA, DIRECT
VecTaggerComputeBoxes_Or,PetscError, DIRECT
VecTaggerComputeBoxes_Or,printf, DIRECT
VecTaggerComputeBoxes_Or,printf, DIRECT
VecTaggerComputeIS_Or,VecTaggerComputeIS_FromBoxes, DIRECT
VecTaggerComputeIS_Or,PetscError, DIRECT
VecTaggerComputeIS_Or,printf, DIRECT
VecTaggerComputeIS_Or,printf, DIRECT
VecTaggerComputeIS_Or,VecTaggerOrGetSubs, DIRECT
VecTaggerComputeIS_Or,PetscError, DIRECT
VecTaggerComputeIS_Or,PetscObjectComm, DIRECT
VecTaggerComputeIS_Or,ISCreateGeneral, DIRECT
VecTaggerComputeIS_Or,PetscError, DIRECT
VecTaggerComputeIS_Or,VecTaggerComputeIS, DIRECT
VecTaggerComputeIS_Or,PetscError, DIRECT
VecTaggerComputeIS_Or,ISExpand, DIRECT
VecTaggerComputeIS_Or,PetscError, DIRECT
VecTaggerComputeIS_Or,ISSort, DIRECT
VecTaggerComputeIS_Or,PetscError, DIRECT
VecTaggerComputeIS_Or,ISDestroy, DIRECT
VecTaggerComputeIS_Or,PetscError, DIRECT
VecTaggerComputeIS_Or,ISDestroy, DIRECT
VecTaggerComputeIS_Or,PetscError, DIRECT
VecTaggerComputeIS_Or,printf, DIRECT
VecTaggerComputeIS_Or,printf, DIRECT
