CALLER, CALLEE, CALLTYPE
VecStashCreate_Private,PetscCommGetNewTag, DIRECT
VecStashCreate_Private,PetscError, DIRECT
VecStashCreate_Private,PetscCommGetNewTag, DIRECT
VecStashCreate_Private,PetscError, DIRECT
VecStashCreate_Private,MPI_Comm_size, DIRECT
VecStashCreate_Private,MPI_Error_string, DIRECT
VecStashCreate_Private,PetscError, DIRECT
VecStashCreate_Private,MPI_Comm_rank, DIRECT
VecStashCreate_Private,MPI_Error_string, DIRECT
VecStashCreate_Private,PetscError, DIRECT
VecStashCreate_Private,PetscMallocA, DIRECT
VecStashCreate_Private,PetscError, DIRECT
VecStashCreate_Private,PetscOptionsGetIntArray, DIRECT
VecStashCreate_Private,PetscError, DIRECT
VecStashCreate_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecStashCreate_Private,PetscError, DIRECT
VecStashCreate_Private,printf, DIRECT
VecStashCreate_Private,printf, DIRECT
VecStashDestroy_Private,PetscFreeA, DIRECT
VecStashDestroy_Private,PetscError, DIRECT
VecStashDestroy_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecStashDestroy_Private,PetscError, DIRECT
VecStashDestroy_Private,printf, DIRECT
VecStashDestroy_Private,printf, DIRECT
VecStashScatterEnd_Private,PetscMallocA, DIRECT
VecStashScatterEnd_Private,PetscError, DIRECT
VecStashScatterEnd_Private,MPI_Waitall, DIRECT
VecStashScatterEnd_Private,MPI_Error_string, DIRECT
VecStashScatterEnd_Private,PetscError, DIRECT
VecStashScatterEnd_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecStashScatterEnd_Private,PetscError, DIRECT
VecStashScatterEnd_Private,PetscFreeA, DIRECT
VecStashScatterEnd_Private,PetscError, DIRECT
VecStashScatterEnd_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecStashScatterEnd_Private,PetscError, DIRECT
VecStashScatterEnd_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecStashScatterEnd_Private,PetscError, DIRECT
VecStashScatterEnd_Private,PetscFreeA, DIRECT
VecStashScatterEnd_Private,PetscError, DIRECT
VecStashScatterEnd_Private,PetscFreeA, DIRECT
VecStashScatterEnd_Private,PetscError, DIRECT
VecStashScatterEnd_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
VecStashScatterEnd_Private,PetscError, DIRECT
VecStashScatterEnd_Private,printf, DIRECT
VecStashScatterEnd_Private,printf, DIRECT
VecStashGetInfo_Private,printf, DIRECT
VecStashGetInfo_Private,printf, DIRECT
VecStashSetInitialSize_Private,printf, DIRECT
VecStashSetInitialSize_Private,printf, DIRECT
VecStashExpand_Private,PetscMallocA, DIRECT
VecStashExpand_Private,PetscError, DIRECT
VecStashExpand_Private,PetscMemcpy, DIRECT
VecStashExpand_Private,PetscError, DIRECT
VecStashExpand_Private,PetscMemcpy, DIRECT
VecStashExpand_Private,PetscError, DIRECT
VecStashExpand_Private,PetscFreeA, DIRECT
VecStashExpand_Private,PetscError, DIRECT
VecStashExpand_Private,printf, DIRECT
VecStashExpand_Private,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
VecStashScatterBegin_Private,PetscMallocA, DIRECT
VecStashScatterBegin_Private,PetscError, DIRECT
VecStashScatterBegin_Private,PetscMallocA, DIRECT
VecStashScatterBegin_Private,PetscError, DIRECT
VecStashScatterBegin_Private,PetscMaxSum, DIRECT
VecStashScatterBegin_Private,PetscError, DIRECT
VecStashScatterBegin_Private,PetscMallocA, DIRECT
VecStashScatterBegin_Private,PetscError, DIRECT
VecStashScatterBegin_Private,PetscMallocA, DIRECT
VecStashScatterBegin_Private,PetscError, DIRECT
VecStashScatterBegin_Private,MPI_Type_size, DIRECT
